Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GPK,PK,PKatt,CrdY,CrdR,Gls1,Ast1,GA,GPK11,GAPK,xG,npxG,xA,npxGxA,xG11,xA11,xGxA,npxG11,npxGxA1,Sh,SoT,SoT1,Sh90,SoT90,GSh,GSoT,Dist,FK,npxGSh,GxG,npGxG,Cmp,Att,Cmp1,TotDist,PrgDist,Cmp11,Att11,Cmp111,Cmp12,Att12,Cmp112,Cmp13,Att13,Cmp113,AxA,KP,Third,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out11,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive11,PassDead11,Drib11,Sh11,Fld11,Def11,Tkl,TklW,Def3rd,Mid3rd,Att3rd,Tkl11,Tkl1,Past,Succ,Succ1,Def3rd11,Mid3rd11,Att3rd11,ShSv,Pass,TklInt,Clr,Err,Touches,DefPen,AttPen,Succ11,Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec1,Prog11,CrdY2,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won1,GA.1,GA90,SoTA,Saves,Save1,W,D,L,CS,CS1,PKA,PKsv,PKm,Save111,PSxG,PSxG1SoT,PSxG1,ps,Thr,Launch1,AvgLen,Launch111,AvgLen11,Opp,Stp,Stp1,OPA,OPA90,AvgDist
Max Aarons,eng ENG,DF,Norwich,Premier League,22,2000.0,28,27,2398,26.6,0,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,0.7,0.7,0.9,1.6,0.02,0.04,0.06,0.02,0.06,11.0,2.0,18.2,0.41,0.08,0.0,0.0,20.3,0,0.06,-0.7,-0.7,903,1204,75.0,15216.0,5823.0,463.0,513,90.3,349.0,457,76.4,81.0,185.0,43.8,0.1,14.0,42.0,31.0,7.0,82.0,913.0,291.0,2.0,144.0,17.0,40,0,0.0,0.0,0.0,690.0,259.0,255.0,134.0,762.0,24.0,270.0,2.0,7,24.0,44,46.0,32.0,1.2,23.0,1.0,3.0,2,0.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,61.0,35,44.0,17.0,0.0,36.0,65.5,19.0,95.0,27.0,205.0,112.0,35.0,0.0,57.0,105.0,61.0,0.0,1557.0,135.0,24.0,42.0,31.0,5.0,898.0,11.0,22.0,24.0,962.0,864.0,89.8,34.0,0,27,0,2,1,144,14,44,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,34,1987.0,28,28,2443,27.1,1,0,1,0,0,5,1,0.04,0.0,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,17.0,5.0,29.4,0.63,0.18,0.06,0.2,18.4,0,0.07,-0.2,-0.2,1061,1291,82.2,22806.0,7729.0,287.0,321,89.4,610.0,686,88.9,155.0,246.0,63.0,-0.2,6.0,68.0,5.0,0.0,72.0,1199.0,92.0,0.0,159.0,42.0,1,0,0.0,0.0,0.0,970.0,103.0,218.0,868.0,335.0,40.0,13.0,3.0,3,28.0,35,26.0,16.0,0.59,11.0,0.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,32,31.0,11.0,1.0,10.0,47.6,11.0,126.0,35.4,201.0,133.0,22.0,2.0,29.0,129.0,87.0,0.0,1568.0,204.0,26.0,70.6,12.0,1.0,990.0,0.0,14.0,10.0,1022.0,992.0,97.1,10.0,0,35,0,0,0,190,58,38,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salis Abdul Samed,gh GHA,MF,Clermont_Foot,Ligue 1,22,2000.0,27,26,2218,24.6,1,0,1,0,0,11,3,0.04,0.0,0.04,0.04,0.04,0.8,0.8,1.0,1.8,0.03,0.04,0.07,0.03,0.07,18.0,5.0,27.8,0.73,0.2,0.06,0.2,20.3,0,0.04,0.2,0.2,1401,1523,92.0,25976.0,4572.0,562.0,599,93.8,654.0,688,95.1,166.0,194.0,85.6,-1.0,13.0,70.0,9.0,0.0,71.0,1507.0,16.0,0.0,201.0,20.0,7,0,0.0,0.0,0.0,1315.0,116.0,92.0,116.0,1332.0,45.0,3.0,8.0,2,16.0,30,19.0,36.0,1.46,26.0,0.0,0.0,4,2.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,49.0,31,22.0,22.0,5.0,16.0,30.2,37.0,172.0,29.6,183.0,300.0,99.0,0.0,23.0,91.0,14.0,0.0,1750.0,54.0,17.0,67.6,26.0,2.0,1342.0,4.0,18.0,37.0,1465.0,1356.0,92.6,44.0,2,39,0,0,0,212,22,22,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,29,1993.0,28,28,2446,27.2,0,2,0,0,0,8,0,0.0,0.07,0.07,0.0,0.07,1.8,1.8,2.1,4.0,0.07,0.08,0.15,0.07,0.15,24.0,6.0,25.0,0.88,0.22,0.0,0.0,22.1,0,0.08,-1.8,-1.8,1104,1342,82.3,21157.0,5592.0,440.0,489,90.0,473.0,538,87.9,170.0,249.0,68.3,-0.1,19.0,105.0,15.0,6.0,108.0,1318.0,24.0,5.0,248.0,38.0,20,0,0.0,0.0,0.0,1016.0,151.0,175.0,116.0,1190.0,18.0,4.0,2.0,7,14.0,45,47.0,48.0,1.77,34.0,2.0,0.0,7,5.0,5.0,0.18,4.0,0.0,0.0,0.0,1.0,0.0,103.0,64,43.0,51.0,9.0,50.0,37.9,82.0,217.0,28.4,267.0,405.0,92.0,0.0,43.0,177.0,11.0,0.0,1675.0,21.0,11.0,61.8,36.0,3.0,1244.0,2.0,25.0,42.0,1237.0,1157.0,93.5,50.0,0,39,0,0,0,244,12,10,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Abi,fr FRA,FW,Saint-Etienne,Ligue 1,22,2000.0,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0,,0.0,0.0,2,6,33.3,24.0,0.0,1.0,2,50.0,1.0,3,33.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,1,0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.1,0.0,11.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,3.0,,0.0,0.0,9.0,0.0,4.0,0.0,12.0,8.0,66.7,2.0,0,1,0,0,0,2,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickson Abiama,ng NGA,FW,Greuther_Fuerth,Bundesliga,23,1998.0,21,5,708,7.9,0,1,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13,2.2,2.2,1.1,3.3,0.28,0.14,0.42,0.28,0.42,18.0,4.0,22.2,2.29,0.51,0.0,0.0,15.6,0,0.12,-2.2,-2.2,84,132,63.6,1192.0,316.0,50.0,73,68.5,24.0,37,64.9,4.0,9.0,44.4,-0.1,7.0,6.0,6.0,0.0,13.0,123.0,9.0,1.0,40.0,1.0,2,0,0.0,0.0,0.0,81.0,32.0,19.0,25.0,71.0,19.0,0.0,3.0,2,5.0,5,9.0,19.0,2.42,11.0,0.0,0.0,2,5.0,2.0,0.25,1.0,0.0,0.0,1.0,0.0,0.0,14.0,7,3.0,7.0,4.0,2.0,18.2,9.0,38.0,21.0,21.0,78.0,82.0,0.0,6.0,22.0,7.0,0.0,252.0,9.0,29.0,35.3,7.0,1.0,140.0,7.0,35.0,11.0,321.0,159.0,49.5,47.0,0,18,0,0,0,37,22,39,36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthis Abline,fr FRA,FW,Rennes,Ligue 1,19,2003.0,7,1,103,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,0.3,0.03,0.32,0.3,0.32,2.0,0.0,0.0,1.75,0.0,0.0,,8.6,0,0.17,-0.3,-0.3,8,10,80.0,100.0,22.0,4.0,6,66.7,4.0,4,100.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,10.0,0.0,0.0,4.0,0.0,1,0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,0.87,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,15.4,4.0,14.0,8.0,0.0,2.0,1.0,1.0,0.0,25.0,2.0,3.0,50.0,1.0,0.0,18.0,0.0,2.0,5.0,39.0,13.0,33.3,8.0,0,2,0,0,0,7,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tammy Abraham,eng ENG,FW,Roma,Serie A,24,1997.0,32,32,2706,30.1,15,4,13,2,2,9,0,0.5,0.13,0.63,0.43,0.57,18.9,17.4,3.4,20.8,0.63,0.11,0.74,0.58,0.69,85.0,30.0,35.3,2.83,1.0,0.15,0.43,12.0,2,0.2,-3.9,-4.4,447,616,72.6,6767.0,1622.0,270.0,353,76.5,121.0,174,69.5,37.0,45.0,82.2,0.6,31.0,31.0,26.0,3.0,58.0,558.0,58.0,5.0,178.0,9.0,18,0,0.0,0.0,0.0,400.0,130.0,86.0,53.0,431.0,61.0,1.0,21.0,0,9.0,33,22.0,74.0,2.46,51.0,1.0,1.0,5,3.0,11.0,0.37,5.0,0.0,1.0,3.0,2.0,0.0,33.0,22,10.0,15.0,8.0,10.0,43.5,13.0,131.0,30.7,44.0,180.0,203.0,0.0,20.0,47.0,25.0,0.0,993.0,28.0,178.0,47.8,34.0,3.0,545.0,21.0,72.0,41.0,1249.0,681.0,54.5,203.0,0,41,0,1,0,116,69,93,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Abram,pe PER,DF,Granada,La Liga,26,1996.0,8,6,560,6.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.08,0.0,0.08,0.08,0.08,2.0,0.0,0.0,0.32,0.0,0.0,,7.0,0,0.24,-0.5,-0.5,194,220,88.2,4320.0,1153.0,42.0,46,91.3,115.0,124,92.7,36.0,48.0,75.0,0.0,0.0,8.0,0.0,0.0,9.0,211.0,9.0,0.0,10.0,7.0,0,0,0.0,0.0,0.0,175.0,15.0,30.0,181.0,22.0,11.0,2.0,1.0,1,1.0,2,1.0,3.0,0.48,1.0,0.0,0.0,0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6,5.0,1.0,1.0,3.0,75.0,1.0,13.0,37.1,14.0,20.0,1.0,2.0,8.0,18.0,39.0,1.0,290.0,63.0,5.0,,0.0,0.0,156.0,0.0,2.0,0.0,187.0,182.0,97.3,1.0,0,5,0,0,1,25,12,15,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesco Acerbi,it ITA,DF,Lazio,Serie A,34,1988.0,25,24,2086,23.2,3,0,3,0,0,1,1,0.13,0.0,0.13,0.13,0.13,1.5,1.5,0.4,1.9,0.07,0.02,0.08,0.07,0.08,11.0,3.0,27.3,0.47,0.13,0.27,1.0,9.4,0,0.14,1.5,1.5,1500,1652,90.8,31534.0,9846.0,469.0,502,93.4,773.0,817,94.6,239.0,304.0,78.6,-0.4,5.0,105.0,5.0,0.0,76.0,1597.0,55.0,2.0,137.0,61.0,1,0,0.0,0.0,0.0,1212.0,143.0,297.0,1257.0,280.0,66.0,1.0,4.0,1,16.0,18,9.0,15.0,0.65,11.0,1.0,0.0,2,0.0,2.0,0.09,1.0,0.0,0.0,0.0,1.0,0.0,18.0,9,13.0,5.0,0.0,5.0,35.7,9.0,40.0,29.0,74.0,53.0,11.0,0.0,16.0,61.0,101.0,1.0,1872.0,286.0,16.0,75.0,3.0,0.0,1217.0,0.0,7.0,3.0,1366.0,1344.0,98.4,8.0,0,16,1,0,0,246,68,40,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ragnar Ache,de GER,FW,Eintracht_Frankfurt,Bundesliga,23,1998.0,11,0,175,1.9,0,1,0,0,0,0,0,0.0,0.51,0.51,0.0,0.51,0.4,0.4,0.3,0.7,0.23,0.14,0.37,0.23,0.37,9.0,1.0,11.1,4.63,0.51,0.0,0.0,14.6,0,0.05,-0.4,-0.4,31,58,53.4,466.0,90.0,13.0,24,54.2,15.0,25,60.0,1.0,3.0,33.3,0.7,2.0,1.0,2.0,2.0,1.0,56.0,2.0,0.0,23.0,1.0,6,0,0.0,0.0,0.0,30.0,14.0,14.0,9.0,31.0,3.0,2.0,0.0,1,2.0,3,5.0,5.0,2.57,3.0,0.0,1.0,0,0.0,1.0,0.51,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2,0.0,1.0,1.0,2.0,66.7,1.0,14.0,30.4,5.0,18.0,23.0,0.0,3.0,2.0,1.0,0.0,103.0,1.0,17.0,66.7,5.0,0.0,59.0,5.0,10.0,7.0,131.0,77.0,58.8,23.0,0,5,0,0,0,13,17,8,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Acuña,ar ARG,DF,Sevilla,La Liga,30,1991.0,25,20,1726,19.2,1,3,1,0,0,6,0,0.05,0.16,0.21,0.05,0.21,1.3,1.3,2.7,4.0,0.07,0.14,0.21,0.07,0.21,12.0,4.0,33.3,0.63,0.21,0.08,0.25,21.0,1,0.11,-0.3,-0.3,1181,1486,79.5,24322.0,9021.0,453.0,482,94.0,507.0,598,84.8,212.0,365.0,58.1,0.3,37.0,74.0,36.0,21.0,91.0,1227.0,259.0,2.0,125.0,77.0,100,32,1.0,26.0,0.0,858.0,241.0,387.0,1105.0,138.0,37.0,186.0,2.0,4,23.0,44,35.0,59.0,3.08,39.0,14.0,1.0,3,0.0,3.0,0.16,1.0,2.0,0.0,0.0,0.0,0.0,44.0,28,24.0,10.0,10.0,18.0,72.0,7.0,72.0,33.6,90.0,87.0,37.0,0.0,23.0,69.0,27.0,0.0,1671.0,44.0,16.0,76.0,39.0,3.0,1119.0,3.0,23.0,23.0,1181.0,1119.0,94.8,57.0,0,30,0,0,0,161,23,33,41.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Che Adams,sct SCO,FW,Southampton,Premier League,25,1996.0,25,21,1823,20.3,7,3,7,0,0,0,0,0.35,0.15,0.49,0.35,0.49,6.3,6.3,2.5,8.8,0.31,0.13,0.44,0.31,0.44,44.0,22.0,50.0,2.17,1.09,0.16,0.32,13.2,0,0.14,0.7,0.7,284,414,68.6,4349.0,872.0,161.0,208,77.4,84.0,113,74.3,23.0,44.0,52.3,0.5,21.0,16.0,11.0,1.0,28.0,398.0,16.0,3.0,122.0,9.0,10,0,0.0,0.0,0.0,264.0,87.0,63.0,37.0,302.0,21.0,1.0,14.0,2,9.0,21,25.0,45.0,2.22,28.0,0.0,1.0,11,1.0,4.0,0.2,3.0,0.0,0.0,0.0,0.0,1.0,14.0,8,3.0,6.0,5.0,2.0,16.7,10.0,79.0,27.2,36.0,112.0,142.0,0.0,20.0,23.0,14.0,0.0,675.0,26.0,91.0,34.5,13.0,0.0,415.0,10.0,46.0,46.0,915.0,465.0,50.8,137.0,0,28,0,0,0,113,49,101,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Adams,us USA,MF,RasenBallsport_Leipzig,Bundesliga,23,1999.0,21,11,1223,13.6,0,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,0.2,0.2,0.8,1.0,0.01,0.06,0.07,0.01,0.07,2.0,0.0,0.0,0.15,0.0,0.0,,19.4,0,0.08,-0.2,-0.2,732,844,86.7,12095.0,2953.0,365.0,398,91.7,279.0,312,89.4,66.0,92.0,71.7,0.2,8.0,67.0,8.0,0.0,50.0,807.0,37.0,1.0,129.0,6.0,3,0,0.0,0.0,0.0,665.0,80.0,99.0,121.0,650.0,38.0,14.0,4.0,4,9.0,21,20.0,24.0,1.77,22.0,0.0,1.0,0,0.0,4.0,0.29,4.0,0.0,0.0,0.0,0.0,0.0,24.0,14,5.0,16.0,3.0,8.0,28.6,20.0,92.0,31.0,84.0,179.0,34.0,0.0,26.0,47.0,18.0,1.0,977.0,25.0,13.0,46.2,6.0,0.0,662.0,3.0,8.0,14.0,745.0,688.0,92.3,15.0,0,17,0,0,0,138,18,10,64.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sargis Adamyan,am ARM,FW,Hoffenheim,Bundesliga,28,1993.0,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,3.0,2.0,66.7,0.82,0.54,0.33,0.5,16.7,0,0.17,0.5,0.5,73,98,74.5,1154.0,299.0,38.0,45,84.4,29.0,38,76.3,5.0,8.0,62.5,-0.7,4.0,5.0,4.0,2.0,9.0,93.0,5.0,0.0,27.0,0.0,6,0,0.0,0.0,0.0,66.0,13.0,19.0,19.0,59.0,7.0,5.0,3.0,0,3.0,5,7.0,11.0,2.99,8.0,0.0,2.0,0,1.0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,13.0,8,8.0,4.0,1.0,5.0,38.5,8.0,27.0,33.3,17.0,41.0,23.0,0.0,5.0,16.0,2.0,0.0,153.0,4.0,12.0,66.7,6.0,1.0,104.0,0.0,12.0,13.0,152.0,96.0,63.2,24.0,0,6,0,0,0,26,5,13,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Adeline,fr FRA,MF,Reims,Ligue 1,18,2003.0,8,2,352,3.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.11,0.09,0.21,0.11,0.21,4.0,1.0,25.0,1.02,0.26,0.0,0.0,10.8,0,0.11,-0.4,-0.4,107,146,73.3,1847.0,555.0,44.0,55,80.0,48.0,60,80.0,9.0,15.0,60.0,-0.4,3.0,10.0,2.0,0.0,11.0,140.0,6.0,0.0,49.0,1.0,2,4,0.0,4.0,0.0,116.0,10.0,20.0,25.0,116.0,3.0,0.0,0.0,1,8.0,12,8.0,8.0,2.05,7.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12,8.0,5.0,1.0,5.0,33.3,10.0,28.0,27.5,37.0,44.0,21.0,0.0,4.0,28.0,6.0,0.0,195.0,9.0,6.0,60.0,3.0,1.0,121.0,0.0,8.0,3.0,134.0,107.0,79.9,11.0,0,16,0,0,0,40,2,8,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amine Adli,fr FRA,FW,Bayer_Leverkusen,Bundesliga,21,2000.0,25,13,1256,14.0,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45,38.0,19.0,50.0,2.72,1.36,0.08,0.16,15.3,0,0.12,-1.5,-1.5,392,520,75.4,5845.0,1714.0,217.0,258,84.1,148.0,197,75.1,14.0,31.0,45.2,0.2,13.0,30.0,16.0,8.0,40.0,501.0,19.0,1.0,115.0,5.0,26,2,0.0,0.0,0.0,418.0,74.0,28.0,419.0,60.0,12.0,10.0,6.0,5,7.0,39,20.0,47.0,3.37,31.0,1.0,3.0,4,4.0,7.0,0.5,5.0,0.0,0.0,1.0,1.0,0.0,38.0,25,14.0,18.0,6.0,17.0,58.6,12.0,93.0,31.0,63.0,123.0,114.0,0.0,31.0,55.0,8.0,0.0,764.0,10.0,67.0,53.3,27.0,1.0,562.0,19.0,43.0,33.0,733.0,546.0,74.5,92.0,0,27,0,0,0,92,19,35,35.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,21,2000.0,32,24,2092,23.2,1,7,1,0,0,4,0,0.04,0.3,0.34,0.04,0.34,1.9,1.9,5.3,7.2,0.08,0.23,0.31,0.08,0.31,30.0,14.0,46.7,1.29,0.6,0.03,0.07,20.5,4,0.06,-0.9,-0.9,831,1125,73.9,17565.0,5690.0,331.0,388,85.3,318.0,385,82.6,172.0,307.0,56.0,1.7,56.0,98.0,37.0,4.0,132.0,1004.0,121.0,2.0,177.0,87.0,39,67,38.0,17.0,1.0,741.0,128.0,256.0,114.0,962.0,19.0,10.0,4.0,5,31.0,51,35.0,100.0,4.3,65.0,20.0,3.0,6,3.0,13.0,0.56,10.0,2.0,0.0,0.0,1.0,0.0,39.0,30,21.0,13.0,5.0,12.0,20.3,47.0,169.0,30.1,138.0,287.0,136.0,0.0,32.0,87.0,10.0,1.0,1412.0,22.0,51.0,52.8,42.0,3.0,1000.0,14.0,45.0,61.0,1172.0,996.0,85.0,87.0,0,23,0,0,0,148,18,20,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Aebischer,ch SUI,MF,Bologna,Serie A,25,1997.0,7,2,220,2.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.05,0.12,0.17,0.05,0.17,2.0,2.0,100.0,0.82,0.82,0.0,0.0,20.8,0,0.07,-0.1,-0.1,122,133,91.7,1990.0,464.0,64.0,67,95.5,40.0,44,90.9,12.0,15.0,80.0,-0.3,3.0,5.0,1.0,0.0,8.0,125.0,8.0,0.0,27.0,4.0,1,4,0.0,1.0,0.0,109.0,18.0,6.0,21.0,106.0,4.0,0.0,0.0,0,0.0,2,1.0,4.0,1.64,3.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2,4.0,2.0,2.0,3.0,42.9,4.0,14.0,21.2,28.0,27.0,11.0,0.0,3.0,10.0,2.0,0.0,155.0,9.0,4.0,50.0,1.0,0.0,107.0,0.0,2.0,2.0,118.0,103.0,87.3,3.0,0,10,0,0,0,22,3,6,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Afena-Gyan,gh GHA,FW,Roma,Serie A,19,2003.0,16,5,611,6.8,2,0,2,0,0,5,1,0.29,0.0,0.29,0.29,0.29,1.8,1.8,0.3,2.1,0.27,0.04,0.31,0.27,0.31,18.0,7.0,38.9,2.65,1.03,0.11,0.29,15.0,0,0.1,0.2,0.2,116,152,76.3,1658.0,259.0,68.0,84,81.0,39.0,48,81.3,4.0,8.0,50.0,-0.3,5.0,3.0,6.0,2.0,10.0,143.0,9.0,0.0,24.0,3.0,8,0,0.0,0.0,0.0,118.0,22.0,12.0,10.0,128.0,1.0,6.0,3.0,0,2.0,10,9.0,22.0,3.24,15.0,0.0,1.0,3,1.0,3.0,0.44,2.0,0.0,1.0,0.0,0.0,0.0,8.0,4,1.0,6.0,1.0,4.0,50.0,4.0,54.0,27.0,25.0,80.0,95.0,0.0,5.0,13.0,0.0,0.0,289.0,0.0,50.0,36.4,9.0,1.0,225.0,6.0,31.0,28.0,350.0,207.0,59.1,63.0,1,15,0,0,0,41,9,17,34.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Agirregabiria,es ESP,DF,Alaves,La Liga,25,1996.0,20,16,1474,16.4,0,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,0.1,0.1,0.9,1.0,0.01,0.06,0.06,0.01,0.06,4.0,0.0,0.0,0.24,0.0,0.0,,21.4,0,0.02,-0.1,-0.1,515,729,70.6,9673.0,5004.0,206.0,249,82.7,254.0,333,76.3,53.0,128.0,41.4,0.1,13.0,44.0,18.0,10.0,52.0,554.0,175.0,0.0,75.0,16.0,37,0,0.0,0.0,0.0,340.0,167.0,222.0,30.0,463.0,49.0,168.0,2.0,3,18.0,29,26.0,24.0,1.47,18.0,2.0,1.0,3,0.0,2.0,0.12,1.0,0.0,1.0,0.0,0.0,0.0,41.0,22,22.0,11.0,8.0,22.0,56.4,17.0,57.0,28.2,90.0,86.0,26.0,0.0,25.0,64.0,43.0,0.0,902.0,48.0,9.0,73.7,14.0,1.0,427.0,0.0,8.0,9.0,495.0,426.0,86.1,18.0,0,28,0,1,0,138,33,37,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucien Agoume,fr FRA,MF,Brest,Ligue 1,20,2002.0,24,19,1673,18.6,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,1.1,1.0,0.4,1.4,0.06,0.02,0.08,0.06,0.08,16.0,1.0,6.3,0.86,0.05,0.0,0.0,10.8,0,0.06,-1.1,-1.0,752,888,84.7,14205.0,3660.0,318.0,361,88.1,295.0,333,88.6,117.0,146.0,80.1,-0.4,10.0,61.0,10.0,0.0,72.0,863.0,25.0,1.0,143.0,27.0,3,1,0.0,0.0,1.0,658.0,100.0,130.0,108.0,719.0,34.0,0.0,4.0,3,10.0,27,22.0,29.0,1.56,22.0,1.0,0.0,2,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,51.0,37,24.0,22.0,5.0,15.0,53.6,13.0,103.0,31.1,105.0,179.0,47.0,0.0,22.0,105.0,30.0,0.0,1085.0,54.0,32.0,69.2,19.0,2.0,705.0,3.0,7.0,20.0,721.0,674.0,93.5,26.0,0,29,0,1,0,185,29,28,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Agudelo,co COL,FW,Spezia,Serie A,23,1998.0,18,7,862,9.6,2,0,2,0,0,2,1,0.21,0.0,0.21,0.21,0.21,1.6,1.6,0.7,2.3,0.17,0.07,0.24,0.17,0.24,15.0,7.0,46.7,1.57,0.73,0.13,0.29,16.0,0,0.11,0.4,0.4,197,269,73.2,2905.0,847.0,105.0,126,83.3,80.0,100,80.0,4.0,17.0,23.5,-0.7,8.0,17.0,8.0,2.0,23.0,263.0,6.0,0.0,92.0,4.0,9,1,1.0,0.0,0.0,200.0,39.0,30.0,223.0,22.0,11.0,2.0,1.0,1,8.0,13,12.0,29.0,3.03,14.0,0.0,4.0,3,6.0,3.0,0.31,1.0,0.0,0.0,0.0,0.0,2.0,29.0,21,11.0,14.0,4.0,7.0,53.8,6.0,63.0,23.5,55.0,140.0,73.0,0.0,20.0,37.0,3.0,0.0,425.0,7.0,31.0,56.1,24.0,1.0,334.0,8.0,16.0,40.0,365.0,281.0,77.0,50.0,0,32,0,0,0,68,12,14,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
