Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GPK,PK,PKatt,CrdY,CrdR,Gls1,Ast1,GA,GPK11,GAPK,xG,npxG,xA,npxGxA,xG11,xA11,xGxA,npxG11,npxGxA1,Sh,SoT,SoT1,Sh90,SoT90,GSh,GSoT,Dist,FK,npxGSh,GxG,npGxG,Cmp,Att,Cmp1,TotDist,PrgDist,Cmp11,Att11,Cmp111,Cmp12,Att12,Cmp112,Cmp13,Att13,Cmp113,AxA,KP,Third,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out11,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive11,PassDead11,Drib11,Sh11,Fld11,Def11,Tkl,TklW,Def3rd,Mid3rd,Att3rd,Tkl11,Tkl1,Past,Succ,Succ1,Def3rd11,Mid3rd11,Att3rd11,ShSv,Pass,TklInt,Clr,Err,Touches,DefPen,AttPen,Succ11,Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec1,Prog11,CrdY2,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won1,GA.1,GA90,SoTA,Saves,Save1,W,D,L,CS,CS1,PKA,PKsv,PKm,Save111,PSxG,PSxG1SoT,PSxG1,ps,Thr,Launch1,AvgLen,Launch111,AvgLen11,Opp,Stp,Stp1,OPA,OPA90,AvgDist
Ángel Correa,ar ARG,FW,Atletico_Madrid,La Liga,27,1995.0,30,19,1633,18.1,11,5,11,0,0,3,1,0.61,0.28,0.88,0.61,0.88,5.6,5.6,3.4,9.0,0.31,0.19,0.49,0.31,0.49,43.0,21.0,48.8,2.37,1.16,0.26,0.52,17.6,0,0.13,5.4,5.4,433,591,73.3,6099.0,1408.0,261.0,320,81.6,121.0,159,76.1,24.0,50.0,48.0,1.6,22.0,27.0,20.0,2.0,44.0,562.0,29.0,1.0,119.0,13.0,22,15,5.0,5.0,0.0,421.0,95.0,75.0,91.0,468.0,14.0,2.0,9.0,2,10.0,30,36.0,52.0,2.87,39.0,3.0,3.0,2,2.0,10.0,0.55,8.0,0.0,0.0,1.0,0.0,1.0,24.0,15,7.0,13.0,4.0,7.0,30.4,16.0,100.0,28.0,52.0,140.0,165.0,0.0,23.0,39.0,4.0,0.0,841.0,6.0,135.0,52.2,27.0,3.0,620.0,17.0,48.0,52.0,886.0,630.0,71.1,164.0,0,25,0,0,0,98,7,29,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquín Correa,ar ARG,FW,Inter,Serie A,27,1994.0,20,9,745,8.3,4,1,4,0,0,2,0,0.48,0.12,0.6,0.48,0.6,3.0,3.0,1.2,4.2,0.36,0.14,0.5,0.36,0.5,23.0,8.0,34.8,2.78,0.97,0.17,0.5,14.8,0,0.13,1.0,1.0,194,236,82.2,2767.0,670.0,114.0,136,83.8,64.0,73,87.7,9.0,12.0,75.0,-0.2,15.0,15.0,16.0,1.0,28.0,230.0,6.0,0.0,46.0,3.0,8,1,0.0,0.0,0.0,196.0,29.0,11.0,15.0,201.0,9.0,1.0,7.0,1,5.0,8,6.0,28.0,3.38,20.0,0.0,2.0,2,0.0,2.0,0.24,1.0,0.0,0.0,1.0,0.0,0.0,10.0,4,0.0,3.0,7.0,2.0,25.0,6.0,41.0,26.1,15.0,66.0,76.0,0.0,3.0,13.0,2.0,0.0,345.0,3.0,61.0,39.1,11.0,1.0,274.0,17.0,21.0,14.0,366.0,271.0,74.0,68.0,0,11,0,0,0,39,6,15,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thierry Correia,pt POR,DF,Valencia,La Liga,23,1999.0,14,13,1033,11.5,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,0.0,0.05,0.06,0.0,0.06,2.0,0.0,0.0,0.17,0.0,0.0,,23.0,0,0.03,-0.1,-0.1,334,477,70.0,6919.0,3192.0,121.0,151,80.1,156.0,199,78.4,53.0,105.0,50.5,-0.6,3.0,33.0,9.0,3.0,46.0,373.0,104.0,0.0,58.0,16.0,24,0,0.0,0.0,0.0,199.0,137.0,141.0,26.0,310.0,28.0,100.0,1.0,0,10.0,21,22.0,12.0,1.05,9.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,20,23.0,10.0,1.0,9.0,42.9,12.0,62.0,26.8,117.0,70.0,44.0,0.0,20.0,64.0,28.0,0.0,625.0,31.0,11.0,33.3,12.0,1.0,313.0,1.0,14.0,12.0,327.0,288.0,88.1,25.0,0,23,0,0,0,100,17,13,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny da Costa,de GER,DF,Eintracht_Frankfurt,Bundesliga,28,1993.0,10,6,643,7.1,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.02,0.02,0.04,0.02,0.04,2.0,0.0,0.0,0.28,0.0,0.0,,12.8,0,0.05,-0.1,-0.1,189,283,66.8,3668.0,1963.0,66.0,87,75.9,92.0,130,70.8,28.0,53.0,52.8,-0.2,3.0,14.0,6.0,2.0,35.0,214.0,69.0,0.0,40.0,0.0,9,0,0.0,0.0,0.0,139.0,78.0,66.0,31.0,163.0,12.0,68.0,1.0,1,7.0,19,13.0,8.0,1.12,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8,5.0,7.0,1.0,4.0,28.6,10.0,32.0,34.0,41.0,35.0,18.0,0.0,17.0,27.0,23.0,0.0,369.0,25.0,9.0,42.9,4.0,0.0,174.0,3.0,6.0,6.0,173.0,155.0,89.6,9.0,0,11,0,1,0,69,16,9,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Pereira da Costa,pt POR,MF,Lens,Ligue 1,21,2001.0,27,10,1019,11.3,1,4,1,0,0,1,0,0.09,0.35,0.44,0.09,0.44,1.5,1.5,2.5,4.0,0.13,0.22,0.36,0.13,0.36,16.0,4.0,25.0,1.41,0.35,0.06,0.25,19.5,0,0.09,-0.5,-0.5,458,553,82.8,7076.0,1878.0,249.0,276,90.2,165.0,188,87.8,31.0,60.0,51.7,1.5,23.0,45.0,18.0,3.0,48.0,520.0,33.0,3.0,85.0,9.0,18,15,6.0,6.0,0.0,461.0,36.0,56.0,39.0,499.0,8.0,2.0,4.0,5,6.0,17,13.0,43.0,3.8,35.0,1.0,4.0,0,1.0,5.0,0.44,5.0,0.0,0.0,0.0,0.0,0.0,15.0,9,6.0,5.0,4.0,5.0,33.3,10.0,66.0,30.3,49.0,96.0,73.0,0.0,16.0,26.0,1.0,0.0,660.0,9.0,37.0,79.4,28.0,2.0,527.0,9.0,17.0,19.0,600.0,512.0,85.3,65.0,0,9,0,0,0,60,1,11,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hélder Costa,ao ANG,MF,Valencia,La Liga,28,1994.0,22,13,1118,12.4,0,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,0.3,0.3,1.7,2.0,0.03,0.14,0.16,0.03,0.16,9.0,2.0,22.2,0.72,0.16,0.0,0.0,17.3,0,0.04,-0.3,-0.3,188,293,64.2,2970.0,923.0,103.0,140,73.6,71.0,101,70.3,10.0,32.0,31.3,-0.7,16.0,12.0,13.0,7.0,21.0,279.0,14.0,0.0,45.0,8.0,37,9,3.0,0.0,3.0,176.0,51.0,66.0,204.0,58.0,20.0,3.0,1.0,1,8.0,14,21.0,33.0,2.66,27.0,2.0,3.0,0,1.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,25.0,17,9.0,5.0,11.0,11.0,33.3,22.0,81.0,24.5,97.0,148.0,85.0,0.0,16.0,38.0,9.0,0.0,459.0,13.0,41.0,51.9,29.0,4.0,329.0,7.0,29.0,31.0,414.0,286.0,69.1,56.0,0,32,0,0,0,85,8,17,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hélder Costa,ao ANG,MF,Leeds,Premier League,28,1994.0,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,1.0,0.0,0.0,4.09,0.0,0.0,,22.4,0,0.03,0.0,0.0,4,4,100.0,65.0,0.0,3.0,3,100.0,1.0,1,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,22.2,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,8.0,5.0,62.5,0.0,0,2,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaume Costa,es ESP,DF,Mallorca,La Liga,34,1988.0,21,17,1513,16.8,0,3,0,0,0,5,1,0.0,0.18,0.18,0.0,0.18,0.6,0.6,1.9,2.6,0.04,0.11,0.15,0.04,0.15,9.0,2.0,22.2,0.54,0.12,0.0,0.0,18.1,0,0.07,-0.6,-0.6,637,873,73.0,11061.0,4680.0,302.0,347,87.0,274.0,356,77.0,54.0,137.0,39.4,1.1,18.0,30.0,26.0,10.0,68.0,690.0,183.0,1.0,90.0,12.0,46,0,0.0,0.0,0.0,434.0,165.0,274.0,492.0,136.0,56.0,172.0,3.0,2,16.0,24,35.0,34.0,2.02,28.0,3.0,0.0,1,2.0,5.0,0.3,4.0,0.0,0.0,0.0,0.0,1.0,34.0,17,20.0,9.0,5.0,15.0,65.2,8.0,43.0,29.1,59.0,55.0,34.0,0.0,20.0,55.0,38.0,0.0,1029.0,61.0,21.0,76.9,10.0,0.0,543.0,2.0,13.0,10.0,603.0,544.0,90.2,46.0,0,17,0,0,0,169,22,16,57.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimír Coufal,cz CZE,DF,West_Ham,Premier League,29,1992.0,23,20,1769,19.7,0,3,0,0,0,4,1,0.0,0.15,0.15,0.0,0.15,0.6,0.6,2.2,2.8,0.03,0.11,0.14,0.03,0.14,11.0,4.0,36.4,0.56,0.2,0.0,0.0,17.0,0,0.06,-0.6,-0.6,798,1165,68.5,13678.0,6663.0,366.0,438,83.6,351.0,478,73.4,66.0,193.0,34.2,0.8,16.0,55.0,27.0,13.0,91.0,921.0,244.0,0.0,124.0,18.0,64,1,1.0,0.0,0.0,503.0,290.0,372.0,106.0,712.0,88.0,227.0,6.0,7,27.0,42,45.0,39.0,1.98,29.0,7.0,0.0,1,1.0,5.0,0.25,5.0,0.0,0.0,0.0,0.0,0.0,40.0,19,23.0,10.0,7.0,15.0,46.9,17.0,68.0,27.5,116.0,83.0,48.0,0.0,34.0,69.0,61.0,0.0,1375.0,87.0,24.0,50.0,13.0,0.0,677.0,6.0,14.0,13.0,785.0,702.0,89.4,35.0,1,23,0,0,0,235,33,32,50.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalifa Coulibaly,ml MLI,FW,Nantes,Ligue 1,30,1991.0,15,6,553,6.1,2,0,2,0,0,1,0,0.33,0.0,0.33,0.33,0.33,2.5,2.5,0.6,3.2,0.41,0.1,0.52,0.41,0.52,18.0,6.0,33.3,2.93,0.98,0.11,0.33,7.4,0,0.14,-0.5,-0.5,79,130,60.8,891.0,178.0,62.0,87,71.3,12.0,29,41.4,2.0,3.0,66.7,-0.6,5.0,2.0,4.0,0.0,7.0,125.0,5.0,0.0,66.0,0.0,1,0,0.0,0.0,0.0,54.0,41.0,35.0,7.0,58.0,7.0,0.0,15.0,1,3.0,4,6.0,9.0,1.46,8.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,0.0,1.0,3.0,0.0,0.0,3.0,14.0,23.3,7.0,19.0,34.0,0.0,0.0,7.0,5.0,0.0,191.0,7.0,34.0,33.3,2.0,0.0,83.0,0.0,14.0,11.0,274.0,154.0,56.2,28.0,0,11,0,0,0,15,52,28,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
