Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Alexander Schwolow,de GER,GK,Hertha BSC,de Bundesliga,29,1992,25,25,2175,24.2,51,2.11,120,73,61.7,7,5,13,4,16.0,5,5,0,0,0.0,1,7,0,48.0,0.37,-3.0,-0.13,164,386,42.5,629,129,39.4,36.2,204,67.6,50.8,258,12,4.7,14,0.58,13.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,2,2,0,0,1,0,0,1,124,0,0,
Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,30,1992,32,32,2880,32.0,35,1.09,100,70,69.0,14,11,7,11,34.4,4,4,0,0,0.0,0,4,1,32.6,0.30,-1.4,-0.04,167,386,43.3,623,115,45.6,38.2,202,50.5,43.7,238,20,8.4,20,0.63,14.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,0,1,5,0,0,0,0,0,0,126,1,0,100.0
Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30,1991,11,11,969,10.8,19,1.76,54,38,70.4,2,5,4,1,9.1,3,3,0,0,0.0,0,0,0,18.6,0.29,-0.4,-0.04,115,234,49.1,307,26,58.0,44.7,84,66.7,49.1,103,3,2.9,7,0.65,14.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,0,0,53,0,0,
Rui Silva,pt POR,GK,Betis,es La Liga,28,1994,18,18,1620,18.0,19,1.06,55,38,69.1,9,3,6,5,27.8,2,2,0,0,0.0,0,3,0,19.6,0.32,+0.6,+0.03,98,247,39.7,440,80,39.8,36.3,129,55.8,45.4,158,8,5.1,17,0.94,14.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,1,3,0,0,0,0,0,1,82,0,0,
Marco Silvestri,it ITA,GK,Udinese,it Serie A,31,1991,30,30,2700,30.0,42,1.40,107,70,65.4,9,12,9,6,20.0,5,5,0,0,0.0,0,5,1,36.2,0.30,-4.8,-0.16,173,436,39.7,609,80,53.0,41.6,216,52.3,42.4,207,11,5.3,3,0.10,11.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0,1,6,0,0,0,0,0,1,123,0,0,
Unai Simón,es ESP,GK,Athletic Club,es La Liga,24,1997,29,29,2610,29.0,29,1.00,98,68,73.5,11,10,8,9,31.0,3,3,0,0,0.0,0,2,1,28.8,0.27,+0.8,+0.03,155,357,43.4,600,164,42.8,37.4,203,49.3,43.2,313,21,6.7,19,0.66,15.2,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0,133,0,0,
Salvatore Sirigu,it ITA,GK,Genoa,it Serie A,35,1987,33,33,2970,33.0,54,1.64,160,109,68.1,2,16,15,9,27.3,4,3,1,0,25.0,3,7,2,48.3,0.30,-3.7,-0.11,258,593,43.5,859,94,50.8,39.9,239,65.7,45.8,270,13,4.8,12,0.36,13.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,3,0,0,0,0,0,0,118,0,0,
Antonio Sivera,es ESP,GK,Alavés,es La Liga,25,1996,3,2,187,2.1,3,1.44,9,7,77.8,0,1,1,1,50.0,1,1,0,0,0.0,0,1,0,2.1,0.13,-0.9,-0.44,22,56,39.3,44,4,77.3,54.6,28,78.6,58.2,31,6,19.4,1,0.48,11.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,6,0,0,
Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,30,1991,32,32,2880,32.0,45,1.41,141,105,73.0,10,8,14,11,34.4,7,7,0,0,0.0,1,4,2,45.6,0.29,+2.6,+0.08,215,477,45.1,869,139,45.5,38.0,244,33.6,30.0,313,19,6.1,6,0.19,11.6,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,1,5,0,0,0,0,0,1,141,0,1,0.0
Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,33,1988,31,31,2790,31.0,58,1.87,166,110,66.9,10,8,13,5,16.1,5,3,2,0,40.0,1,5,1,58.6,0.35,+4.6,+0.15,210,512,41.0,1134,141,36.9,34.8,195,47.7,40.6,215,14,6.5,32,1.07,15.3,0,1,0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01,0,0,8,0,0,1,0,0,0,167,0,0,
David Soria,es ESP,GK,Getafe,es La Liga,29,1993,33,33,2964,32.9,37,1.12,114,77,69.3,8,11,14,11,33.3,4,2,1,1,33.3,0,5,1,34.7,0.28,-1.3,-0.04,336,785,42.8,766,81,75.1,52.3,248,84.7,58.4,316,38,12.0,27,0.82,14.5,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,1,5,0,0,0,0,0,1,165,0,0,
Marco Sportiello,it ITA,GK,Atalanta,it Serie A,29,1992,5,5,450,5.0,5,1.00,16,12,81.3,0,3,2,2,40.0,2,2,0,0,0.0,0,1,0,5.3,0.22,+0.3,+0.06,18,45,40.0,104,28,23.1,28.7,28,75.0,52.5,24,2,8.3,5,1.00,12.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0,28,0,0,
Jason Steele,eng ENG,GK,Brighton,eng Premier League,31,1990,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,0,1,0,1.2,0.25,-0.8,-0.77,3,7,42.9,32,2,12.5,26.2,6,50.0,43.8,11,1,9.1,0,0.00,13.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,3,0,0,
Jed Steer,eng ENG,GK,Aston Villa,eng Premier League,29,1992,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,0,0,0,1.8,0.45,-1.2,-1.20,5,13,38.5,30,6,30.0,34.4,6,66.7,53.8,8,1,12.5,1,1.00,14.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,6,0,0,
Zack Steffen,us USA,GK,Manchester City,eng Premier League,27,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,0,0,0,0.3,0.16,+0.3,+0.31,4,9,44.4,31,6,22.6,26.0,7,28.6,25.3,7,0,0.0,2,2.00,17.5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,7,0,0,
Thomas Strakosha,al ALB,GK,Lazio,it Serie A,27,1995,18,18,1620,18.0,19,1.06,65,46,72.3,10,4,4,6,33.3,1,1,0,0,0.0,1,4,1,19.2,0.28,+1.2,+0.07,88,162,54.3,464,76,29.7,30.6,97,24.7,25.3,150,8,5.3,6,0.33,15.2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,1,0,0,0,0,0,0,1,70,0,0,
Wojciech Szczęsny,pl POL,GK,Juventus,it Serie A,32,1990,30,30,2700,30.0,25,0.83,86,63,73.3,16,9,5,12,40.0,5,2,3,0,60.0,2,5,0,27.2,0.28,+2.2,+0.07,161,315,51.1,731,128,34.7,34.6,158,38.6,34.7,285,21,7.4,13,0.43,13.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0,2,5,0,0,0,0,0,2,109,0,0,
Ciprian Tătărușanu,ro ROU,GK,Milan,it Serie A,36,1986,6,6,540,6.0,10,1.67,21,14,61.9,4,1,1,1,16.7,3,2,1,0,33.3,0,1,1,9.0,0.30,0.0,-0.01,37,79,46.8,168,12,39.3,36.8,38,34.2,37.6,49,2,4.1,4,0.67,13.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0,19,0,0,
Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,29,1992,30,30,2700,30.0,29,0.97,95,68,71.6,17,8,5,10,33.3,3,2,1,0,33.3,0,6,0,30.7,0.31,+1.7,+0.06,190,324,58.6,937,124,26.9,29.9,188,38.3,35.2,198,13,6.6,7,0.23,12.8,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0,0,6,0,0,0,0,0,0,114,0,0,
Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,32,1990,26,25,2322,25.8,32,1.24,75,47,60.0,14,5,6,7,28.0,3,2,1,0,33.3,0,2,2,27.1,0.33,-2.9,-0.11,245,462,53.0,1117,111,36.3,35.3,138,40.6,36.2,157,16,10.2,26,1.01,16.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,5,0,0,0,0,0,0,126,0,0,
Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,31,1990,29,29,2610,29.0,41,1.41,144,105,74.3,10,9,10,5,17.2,4,4,0,0,0.0,0,4,0,42.5,0.29,+3.5,+0.13,183,564,32.4,890,127,49.7,38.7,219,55.7,46.1,234,9,3.8,29,1.04,15.8,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,3,0,0,0,0,0,0,145,0,0,
Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,33,1988,5,5,450,5.0,8,1.60,16,10,56.3,2,1,2,1,20.0,1,1,0,0,0.0,1,1,1,6.7,0.36,-0.3,-0.06,20,46,43.5,169,23,25.4,28.0,27,11.1,19.7,26,5,19.2,8,1.60,19.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,0,0,24,0,0,
Benjamin Uphoff,de GER,GK,Freiburg,de Bundesliga,28,1993,2,2,180,2.0,7,3.50,12,5,41.7,0,1,1,0,0.0,0,0,0,0,,0,2,0,2.9,0.24,-4.1,-2.05,26,53,49.1,70,14,47.1,38.2,20,100.0,65.1,14,1,7.1,2,1.00,13.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,11,0,0,
Rúben Vezo,pt POR,DF,Levante,es La Liga,27,1994,1,1,4,24.0,0,0.00,0,0,,0,1,0,0,0.0,0,0,0,0,,0,0,0,0.0,,0.0,0.00,2,4,50.0,3,0,100.0,61.7,1,100.0,64.0,2,0,0.0,0,0.00,,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.2,1.0,0.03,0.01,0.04,0.03,0.04,0,27,26,0,3,44,30,1,1,217,64,39,62.1
Guglielmo Vicario,it ITA,GK,Empoli,it Serie A,25,1996,33,33,2970,33.0,60,1.82,179,124,68.2,8,10,15,6,18.2,7,3,1,3,25.0,1,4,5,56.4,0.30,+1.4,+0.04,150,383,39.2,911,182,30.1,31.9,229,47.6,40.5,338,30,8.9,16,0.48,13.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,1,8,0,0,0,0,0,1,142,0,0,
Freddie Woodman,eng ENG,GK,Newcastle Utd,eng Premier League,25,1997,4,4,360,4.0,12,3.00,19,9,47.4,0,1,3,0,0.0,3,2,1,0,33.3,0,0,0,8.7,0.35,-3.3,-0.83,22,71,31.0,80,11,53.8,43.3,43,65.1,52.0,33,2,6.1,0,0.00,11.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,15,0,0,
Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,27,1994,31,31,2790,31.0,41,1.32,114,78,67.5,11,6,14,10,32.3,5,4,1,0,20.0,0,4,1,38.5,0.31,-1.5,-0.05,141,419,33.7,744,163,41.0,37.9,231,49.4,43.3,242,23,9.5,47,1.52,17.3,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,1,4,0,0,0,0,0,1,168,0,0,
Luca Zidane,fr FRA,"GK,MF",Rayo Vallecano,es La Liga,23,1998,7,7,555,6.2,9,1.46,31,22,71.0,0,1,6,0,0.0,0,0,0,0,,0,1,0,9.0,0.29,0.0,+0.01,47,95,49.5,155,37,42.6,38.1,46,63.0,50.0,49,4,8.2,2,0.32,12.4,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0,33,0,0,
Jeroen Zoet,nl NED,GK,Spezia,it Serie A,31,1991,7,7,630,7.0,19,2.71,40,22,55.0,1,1,5,0,0.0,2,1,1,0,50.0,0,3,0,17.5,0.39,-1.5,-0.22,29,81,35.8,181,41,32.0,33.9,54,42.6,39.4,52,3,5.8,5,0.71,13.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,1,3,0,0,0,0,0,1,33,0,0,
