Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Mattia Perin,it ITA,GK,Juventus,it Serie A,29,1992,3,3,270,3.0,4,1.33,8,4,50.0,2,0,1,1,33.3,0,0,0,0,,0,1,0,4.1,0.52,+0.1,+0.04,10,25,40.0,64,8,34.4,36.7,21,14.3,23.2,25,2,8.0,0,0.00,10.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,14,0,0,
Pavao Pervan,at AUT,GK,Wolfsburg,de Bundesliga,34,1987,5,5,450,5.0,14,2.80,28,16,53.6,0,0,5,0,0.0,1,1,0,0,0.0,1,2,1,7.1,0.22,-5.9,-1.19,18,48,37.5,130,24,31.5,32.5,35,20.0,22.7,33,1,3.0,5,1.00,14.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,22,0,0,
Danijel Petković,me MNE,GK,Angers,fr Ligue 1,28,1993,15,15,1350,15.0,22,1.47,62,44,67.7,3,3,9,2,13.3,3,2,1,0,33.3,0,1,2,16.4,0.24,-3.6,-0.24,52,155,33.5,340,90,30.3,32.3,120,43.3,38.7,135,12,8.9,10,0.67,12.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,4,0,0,0,0,0,0,85,0,0,
Jordan Pickford,eng ENG,GK,Everton,eng Premier League,28,1994,29,29,2610,29.0,50,1.72,139,93,64.7,7,5,17,5,17.2,1,1,0,0,0.0,2,10,3,43.9,0.31,-3.1,-0.11,220,646,34.1,730,100,65.2,50.6,216,78.7,62.8,237,16,6.8,21,0.72,15.4,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,0,0,4,0,0,0,0,0,0,131,0,0,
Julian Pollersbeck,de GER,GK,Lyon,fr Ligue 1,27,1994,6,4,436,4.8,6,1.24,21,19,90.5,3,0,1,1,25.0,4,4,0,0,0.0,0,1,0,3.7,0.07,-0.3,-0.07,15,33,45.5,108,17,24.1,29.5,28,25.0,29.0,19,0,0.0,1,0.26,15.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0,17,0,0,
Nick Pope,eng ENG,GK,Burnley,eng Premier League,30,1992,30,30,2700,30.0,39,1.30,127,89,71.7,5,13,12,8,26.7,3,3,0,0,0.0,1,6,0,39.9,0.32,+2.9,+0.10,260,684,38.0,636,105,74.4,53.3,227,93.0,65.5,302,28,9.3,47,1.62,18.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,0,0,4,0,0,0,0,0,0,149,0,0,
Gaëtan Poussin,fr FRA,GK,Bordeaux,fr Ligue 1,23,1999,11,11,990,11.0,27,2.45,47,24,46.8,2,4,5,1,9.1,4,2,2,0,50.0,0,4,2,20.5,0.37,-4.5,-0.41,84,195,43.1,323,48,43.0,37.3,94,59.6,45.6,98,3,3.1,18,1.64,15.5,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0,52,0,0,
Ivan Provedel,it ITA,GK,Spezia,it Serie A,28,1994,27,27,2430,27.0,40,1.48,131,99,75.6,8,5,14,7,25.9,11,8,1,2,11.1,3,3,2,37.4,0.25,+1.4,+0.05,229,576,39.8,819,113,53.7,44.2,197,69.0,51.9,239,20,8.4,20,0.77,14.8,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,2,3,0,0,0,0,0,2,115,0,0,
Boris Radunović,rs SRB,GK,Cagliari,it Serie A,25,1996,3,3,270,3.0,5,1.67,15,11,73.3,0,2,1,1,33.3,2,1,1,0,50.0,1,0,0,5.9,0.31,+0.9,+0.30,26,69,37.7,75,11,61.3,45.1,28,82.1,54.2,29,1,3.4,1,0.33,11.9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,1,0,0,0,0,0,0,12,0,0,
Predrag Rajković,rs SRB,GK,Reims,fr Ligue 1,26,1995,33,33,2970,33.0,36,1.09,125,94,74.4,9,13,11,11,33.3,6,4,1,1,20.0,2,8,1,33.7,0.24,-1.3,-0.04,173,477,36.3,839,168,41.7,38.8,238,53.4,43.4,323,28,8.7,40,1.21,16.4,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,3,0,0,0,0,0,0,181,0,1,0.0
