Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,14,12,1037,11.5,4,1,4,0,2,3,0,0.35,0.09,0.43,0.35,0.43,5.8,4.1,0.8,5.0,0.50,0.07,0.57,0.36,0.43,33,16,48.5,2.86,1.39,0.12,0.25,14.2,0,0.13,-1.8,-0.1,145,205,70.7,2016,383,94,117,80.3,40,62,64.5,8,14,57.1,+0.2,9,4,10,1,13,198,7,1,62,3,9,0,0,0,0,120,47,38,27,151,8,1,1,1,2,8,11,23,2.00,14,0,1,3,0,3,0.26,2,0,0,1,0,0,12,7,5,5,2,2,33.3,4,53,26.4,23,78,100,0,16,13,3,0,322,5,55,33.3,3,0,169,9,20,5,443,225,50.8,56,0,18,0,0,0,38,28,32,46.7
Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25,25,2205,24.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.4,0.00,0.02,0.02,0.00,0.02,0,0,,0.00,0.00,,,,0,,0.0,0.0,547,790,69.2,18337,12018,82,82,100.0,208,214,97.2,256,493,51.9,-0.4,2,16,0,0,0,549,241,1,58,10,0,0,0,0,0,353,28,409,81,597,0,1,90,7,15,5,0,4,0.17,3,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,25.0,4,0,0,0,0,0,0,0,852,774,0,,0,0,429,0,0,0,402,400,99.5,0,0,0,0,0,0,86,0,0,
Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,27,1994,32,21,2035,22.6,1,0,1,0,0,0,0,0.04,0.00,0.04,0.04,0.04,0.2,0.2,1.2,1.4,0.01,0.06,0.06,0.01,0.06,5,1,20.0,0.22,0.04,0.20,1.00,18.6,0,0.03,+0.8,+0.8,861,1117,77.1,16058,6898,339,400,84.8,425,507,83.8,87,162,53.7,-1.2,15,55,28,12,106,910,207,0,125,16,58,4,0,0,0,602,242,273,805,53,53,179,3,2,12,31,50,31,1.42,25,3,1,1,1,1,0.05,1,0,0,0,0,0,40,23,22,11,7,12,50.0,12,68,31.2,105,64,49,0,34,78,48,1,1312,85,12,48.5,19,1,780,3,11,17,801,737,92.0,44,0,12,0,0,0,185,33,23,58.9
Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,fr Ligue 1,24,1997,6,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.17,0.00,0.17,0.17,0.17,2,0,0.0,2.77,0.00,0.00,,16.4,0,0.06,-0.1,-0.1,12,15,80.0,154,22,8,9,88.9,2,4,50.0,1,1,100.0,0.0,0,0,0,0,0,14,1,0,4,0,0,0,0,0,0,11,3,1,2,11,0,0,0,0,0,1,0,2,2.77,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,4,3,0,2,0,0,0,25,0,2,0.0,0,0,16,0,1,2,40,20,50.0,6,0,2,0,0,0,1,2,1,66.7
Ludwig Augustinsson,se SWE,DF,Sevilla,es La Liga,28,1994,19,9,793,8.8,0,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,0.4,0.4,0.6,1.0,0.04,0.07,0.11,0.04,0.11,4,2,50.0,0.45,0.23,0.00,0.00,15.5,0,0.09,-0.4,-0.4,453,560,80.9,8000,2644,214,230,93.0,183,205,89.3,50,107,46.7,+0.4,10,21,8,4,16,445,115,0,34,26,21,19,0,16,0,335,98,127,391,57,15,83,5,2,11,8,14,14,1.59,8,5,0,0,1,1,0.11,0,1,0,0,0,0,19,13,11,4,4,6,46.2,7,39,34.2,57,30,27,0,15,28,28,0,645,31,15,100.0,1,0,371,3,10,6,425,392,92.2,18,0,16,0,0,0,62,18,10,64.3
Serge Aurier,ci CIV,DF,Villarreal,es La Liga,29,1992,16,9,887,9.9,0,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,1.1,1.8,0.08,0.11,0.19,0.08,0.19,10,2,20.0,1.01,0.20,0.00,0.00,13.7,0,0.08,-0.8,-0.8,556,651,85.4,10283,3489,222,251,88.4,270,305,88.5,58,78,74.4,-0.1,6,29,14,6,45,570,81,0,71,18,19,0,0,0,0,475,95,81,55,473,36,72,1,2,7,10,12,11,1.12,10,1,0,0,0,1,0.10,1,0,0,0,0,0,18,11,10,6,2,5,62.5,3,36,31.9,50,41,22,1,11,39,17,0,773,35,22,55.6,11,1,479,3,9,10,524,493,94.1,28,0,16,0,1,0,103,22,12,64.7
Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,28,1994,31,18,1587,17.6,6,1,5,1,1,8,1,0.34,0.06,0.40,0.28,0.34,3.8,3.0,1.3,4.3,0.21,0.07,0.28,0.17,0.24,51,14,27.5,2.89,0.79,0.10,0.36,24.7,3,0.06,+2.2,+2.0,257,459,56.0,5206,1559,104,160,65.0,103,165,62.4,46,102,45.1,-0.3,15,23,19,12,37,442,17,0,110,25,48,3,0,1,1,180,123,156,98,253,56,5,11,3,22,22,31,33,1.87,21,3,0,5,2,6,0.34,3,1,0,0,1,1,12,7,5,6,1,10,43.5,13,68,28.8,35,93,108,0,21,35,12,0,674,13,48,37.0,16,3,385,4,36,21,806,473,58.7,86,1,30,0,1,0,94,46,78,37.1
Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,24,1997,28,26,1952,21.7,13,0,12,1,1,0,0,0.60,0.00,0.60,0.55,0.55,11.7,11.0,1.5,12.5,0.57,0.07,0.64,0.53,0.60,57,26,45.6,2.63,1.20,0.21,0.46,13.1,0,0.19,+1.3,+1.0,284,413,68.8,4443,1154,148,191,77.5,102,148,68.9,20,34,58.8,-1.5,20,24,17,2,39,406,7,5,151,1,7,0,0,0,0,263,95,55,78,250,29,1,20,2,10,24,21,46,2.22,34,0,4,2,1,3,0.14,0,0,1,0,1,1,14,9,1,7,6,1,7.7,12,99,32.1,25,140,143,0,12,21,21,0,738,24,115,51.9,32,1,501,16,107,52,1029,550,53.4,165,0,29,1,0,1,94,51,124,29.1
Ramzi Aya,it ITA,DF,Salernitana,it Serie A,31,1990,2,2,135,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,1,0,0.0,0.67,0.00,0.00,,25.9,0,0.04,0.0,0.0,18,28,64.3,386,153,5,6,83.3,9,14,64.3,4,8,50.0,0.0,0,2,0,0,3,23,5,0,0,0,1,0,0,0,0,14,3,11,2,20,2,4,0,0,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,100.0,0,1,16.7,4,2,0,0,0,3,1,0,32,4,0,,0,0,16,0,0,0,18,15,83.3,0,0,1,0,0,0,7,1,1,50.0
Jordan Ayew,gh GHA,FW,Crystal Palace,eng Premier League,30,1991,28,20,1773,19.7,2,3,2,0,0,1,0,0.10,0.15,0.25,0.10,0.25,2.9,2.9,2.2,5.2,0.15,0.11,0.26,0.15,0.26,31,6,19.4,1.57,0.30,0.06,0.33,17.2,1,0.09,-0.9,-0.9,503,663,75.9,7648,1462,286,324,88.3,172,216,79.6,31,72,43.1,+0.8,20,24,14,5,37,652,11,1,116,14,45,1,0,0,0,476,96,91,32,571,24,8,7,2,12,24,38,42,2.13,27,1,1,8,3,5,0.25,3,0,0,0,1,1,49,33,18,20,11,11,50.0,11,129,28.0,111,199,151,0,29,73,4,0,1007,11,71,52.3,36,5,776,22,65,66,952,723,75.9,87,0,33,1,0,0,138,25,50,33.3
Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,27,1994,19,11,1039,11.5,1,0,1,0,0,1,1,0.09,0.00,0.09,0.09,0.09,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,3,1,33.3,0.26,0.09,0.33,1.00,20.6,2,0.06,+0.8,+0.8,583,653,89.3,12813,4619,186,197,94.4,269,290,92.8,120,154,77.9,0.0,1,48,1,0,54,615,38,0,64,29,1,0,0,0,0,513,38,102,40,564,23,3,4,3,11,9,3,5,0.43,5,0,0,0,0,0,0.00,0,0,0,0,0,0,15,7,10,5,0,2,22.2,7,27,28.4,57,36,2,1,6,33,46,0,750,123,3,100.0,1,0,494,0,4,0,512,505,98.6,0,0,13,0,1,0,99,30,27,52.6
Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,30,1991,23,23,2066,23.0,2,2,2,0,0,4,0,0.09,0.09,0.17,0.09,0.17,1.6,1.6,0.8,2.4,0.07,0.03,0.10,0.07,0.10,19,3,15.8,0.83,0.13,0.11,0.67,12.8,0,0.09,+0.4,+0.4,1129,1438,78.5,23936,10179,402,460,87.4,519,604,85.9,200,337,59.3,+1.2,7,94,11,4,115,1281,157,2,188,44,24,0,0,0,0,870,228,340,126,1095,60,123,5,9,27,62,23,21,0.91,15,0,0,0,0,3,0.13,0,0,0,3,0,0,68,39,44,19,5,44,50.6,43,121,35.4,187,119,36,0,20,116,63,1,1709,211,35,57.9,24,5,1030,3,22,15,1104,1047,94.8,30,0,24,0,1,0,245,48,48,50.0
Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,32,1990,7,4,388,4.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,3,3,100.0,0.70,0.70,0.00,0.00,21.1,1,0.04,-0.1,-0.1,108,145,74.5,2155,843,38,43,88.4,53,65,81.5,16,34,47.1,0.0,0,2,0,0,3,134,11,0,19,3,0,0,0,0,0,95,21,29,10,120,5,6,0,0,6,10,2,1,0.23,1,0,0,0,0,0,0.00,0,0,0,0,0,0,8,6,3,5,0,1,25.0,3,22,32.8,33,34,0,0,3,10,11,0,178,17,2,50.0,1,0,116,0,2,2,121,117,96.7,2,0,12,0,0,0,21,8,6,57.1
