Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Max Aarons,eng ENG,DF,Norwich City,eng Premier League,22,2000,29,27,2431,27.0,0,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,0.9,1.6,0.02,0.04,0.06,0.02,0.06,11,2,18.2,0.41,0.07,0.00,0.00,20.3,0,0.06,-0.7,-0.7,903,1204,75.0,15216,5823,463,513,90.3,349,457,76.4,81,185,43.8,+0.1,14,42,31,7,82,913,291,2,144,17,41,0,0,0,0,690,259,255,134,762,24,270,2,7,24,44,46,32,1.20,23,1,3,2,0,4,0.15,4,0,0,0,0,0,61,35,44,17,0,36,65.5,19,95,27.0,205,112,35,0,57,105,61,0,1557,135,24,42.0,31,5,898,11,22,24,962,864,89.8,34,0,27,0,2,1,144,14,44,24.1
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,29,29,2533,28.1,2,0,2,0,0,5,1,0.07,0.00,0.07,0.07,0.07,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,18,6,33.3,0.64,0.21,0.11,0.33,18.6,0,0.07,+0.8,+0.8,1093,1327,82.4,23435,7960,294,328,89.6,632,709,89.1,157,251,62.5,-0.2,6,70,5,0,75,1234,93,0,164,42,1,0,0,0,0,1001,105,221,896,342,40,14,3,4,28,35,26,18,0.64,11,0,3,0,3,1,0.04,0,0,1,0,0,0,47,34,33,13,1,11,45.8,13,134,35.8,212,139,23,2,30,136,89,0,1614,215,26,72.2,13,1,1012,0,14,10,1051,1021,97.1,10,0,38,0,0,0,195,58,39,59.8
Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,22,2000,28,27,2308,25.6,1,0,1,0,0,11,3,0.04,0.00,0.04,0.04,0.04,0.8,0.8,1.0,1.8,0.03,0.04,0.07,0.03,0.07,18,5,27.8,0.70,0.19,0.06,0.20,20.3,0,0.04,+0.2,+0.2,1450,1580,91.8,26899,4780,582,622,93.6,673,709,94.9,176,205,85.9,-1.0,14,71,11,0,74,1562,18,1,208,20,7,0,0,0,0,1365,118,97,121,1380,48,3,8,2,16,31,21,37,1.44,27,0,0,4,2,1,0.04,1,0,0,0,0,0,51,31,24,22,5,18,31.0,40,172,28.9,186,307,102,0,23,98,15,0,1820,55,17,65.9,30,2,1387,4,19,39,1518,1406,92.6,44,2,39,0,0,0,223,23,23,50.0
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,29,2536,28.2,0,2,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,1.8,1.8,2.2,4.0,0.07,0.08,0.14,0.07,0.14,24,6,25.0,0.85,0.21,0.00,0.00,22.1,0,0.08,-1.8,-1.8,1132,1381,82.0,21709,5805,452,506,89.3,481,548,87.8,175,257,68.1,-0.2,20,110,15,6,113,1356,25,5,256,39,22,0,0,0,0,1040,157,184,123,1222,18,4,2,7,14,48,48,50,1.77,36,2,0,7,5,5,0.18,4,0,0,0,1,0,106,66,44,52,10,52,38.0,85,224,28.5,271,419,95,0,45,182,11,0,1725,22,11,62.7,39,3,1285,2,26,42,1266,1183,93.4,50,0,41,0,0,0,259,12,11,52.2
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,22,2000,1,1,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,6,33.3,24,0,1,2,50.0,1,3,33.3,0,0,,0.0,0,0,0,0,0,6,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,7.1,0,11,3,0,1,0,0,0,12,0,3,,0,0,9,0,4,0,12,8,66.7,2,0,1,0,0,0,2,1,0,100.0
Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,23,1998,22,5,716,8.0,0,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,2.2,2.2,1.1,3.3,0.28,0.14,0.42,0.28,0.42,18,4,22.2,2.26,0.50,0.00,0.00,15.6,0,0.12,-2.2,-2.2,84,132,63.6,1192,316,50,73,68.5,24,37,64.9,4,9,44.4,-0.1,7,6,6,0,13,123,9,1,40,1,2,0,0,0,0,81,32,19,25,71,19,0,3,2,5,5,9,19,2.42,11,0,0,2,5,2,0.25,1,0,0,1,0,0,14,7,3,7,4,2,18.2,9,38,21.0,21,78,82,0,6,22,7,0,252,9,29,35.3,7,1,140,7,35,11,321,159,49.5,47,0,18,0,0,0,37,22,39,36.1
Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,19,2003,7,1,103,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.30,0.03,0.32,0.30,0.32,2,0,0.0,1.75,0.00,0.00,,8.6,0,0.17,-0.3,-0.3,8,10,80.0,100,22,4,6,66.7,4,4,100.0,0,0,,0.0,1,1,1,0,1,10,0,0,4,0,1,0,0,0,0,9,1,0,3,7,0,0,0,0,0,1,0,1,0.87,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,4,15.4,4,14,8,0,2,1,1,0,25,2,3,50.0,1,0,18,0,2,5,39,13,33.3,8,0,2,0,0,0,7,0,2,0.0
Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,33,33,2783,30.9,15,4,13,2,2,9,0,0.49,0.13,0.61,0.42,0.55,18.9,17.4,3.4,20.8,0.63,0.11,0.74,0.58,0.69,86,30,34.9,2.78,0.97,0.15,0.43,12.0,2,0.20,-3.9,-4.4,447,615,72.7,6767,1622,270,353,76.5,121,173,69.9,37,45,82.2,+0.6,31,31,26,3,58,557,58,5,178,9,18,0,0,0,0,399,130,86,53,430,61,1,21,0,9,33,22,74,2.46,51,1,1,5,3,11,0.37,5,0,1,3,2,0,33,22,10,15,8,10,43.5,13,130,30.7,44,180,200,0,20,47,25,0,993,28,178,47.8,34,3,545,21,73,41,1252,681,54.4,203,0,41,0,1,0,116,70,93,42.9
Luis Abram,pe PER,DF,Granada,es La Liga,26,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,2,0,0.0,0.32,0.00,0.00,,7.0,0,0.24,-0.5,-0.5,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75.0,0.0,0,8,0,0,9,211,9,0,10,7,0,0,0,0,0,175,15,30,181,22,11,2,1,1,1,2,1,3,0.48,1,0,0,0,0,1,0.16,0,0,0,1,0,0,7,6,5,1,1,3,75.0,1,13,37.1,14,20,1,2,8,18,39,1,290,63,5,,0,0,156,0,2,0,187,182,97.3,1,0,5,0,0,1,25,12,15,44.4
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,34,1988,25,24,2086,23.2,3,0,3,0,0,1,1,0.13,0.00,0.13,0.13,0.13,1.5,1.5,0.4,1.9,0.07,0.02,0.08,0.07,0.08,11,3,27.3,0.47,0.13,0.27,1.00,9.4,0,0.14,+1.5,+1.5,1500,1652,90.8,31534,9846,469,502,93.4,773,817,94.6,239,304,78.6,-0.4,5,105,5,0,76,1597,55,2,137,61,1,0,0,0,0,1212,143,297,1257,280,66,1,4,1,16,18,9,15,0.65,11,1,0,2,0,2,0.09,1,0,0,0,1,0,18,9,13,5,0,5,35.7,9,40,29.0,74,53,11,0,16,61,101,1,1872,286,16,75.0,3,0,1217,0,7,3,1366,1344,98.4,8,0,16,1,0,0,247,68,40,63.0
Ragnar Ache,de GER,"FW,MF",Eint Frankfurt,de Bundesliga,23,1998,12,0,187,2.1,0,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,0.4,0.4,0.3,0.7,0.23,0.14,0.37,0.23,0.37,9,1,11.1,4.33,0.48,0.00,0.00,14.6,0,0.05,-0.4,-0.4,31,58,53.4,466,90,13,24,54.2,15,25,60.0,1,3,33.3,+0.7,2,1,2,2,1,56,2,0,23,1,6,0,0,0,0,30,14,14,9,31,3,2,0,1,2,3,5,5,2.57,3,0,1,0,0,1,0.51,0,0,0,1,0,0,2,2,0,1,1,2,66.7,1,14,30.4,5,18,23,0,3,2,1,0,103,1,17,66.7,5,0,59,5,10,7,131,77,58.8,23,0,5,0,0,0,13,17,8,68.0
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,26,21,1810,20.1,1,3,1,0,0,7,0,0.05,0.15,0.20,0.05,0.20,1.3,1.3,2.8,4.1,0.06,0.14,0.20,0.06,0.20,12,4,33.3,0.60,0.20,0.08,0.25,21.0,1,0.11,-0.3,-0.3,1238,1552,79.8,25469,9393,474,508,93.3,535,628,85.2,220,375,58.7,+0.2,38,77,36,21,93,1283,269,2,130,81,101,33,1,26,0,900,253,399,1151,147,40,192,2,5,23,45,35,60,2.98,40,14,1,3,0,3,0.15,1,2,0,0,0,0,48,32,26,12,10,18,69.2,8,78,34.4,97,92,38,0,25,74,27,0,1742,47,18,76.0,39,3,1162,5,23,23,1226,1162,94.8,58,0,31,0,1,0,173,25,35,41.7
Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,26,21,1848,20.5,7,3,7,0,0,0,0,0.34,0.15,0.49,0.34,0.49,6.8,6.8,2.5,9.3,0.33,0.12,0.46,0.33,0.46,46,23,50.0,2.24,1.12,0.15,0.30,13.0,0,0.15,+0.2,+0.2,293,423,69.3,4459,881,166,213,77.9,87,116,75.0,23,44,52.3,+0.5,21,16,11,1,28,407,16,3,125,9,10,0,0,0,0,272,88,63,37,310,21,1,14,2,9,21,26,45,2.19,28,0,1,11,1,4,0.19,3,0,0,0,0,1,14,8,3,6,5,2,16.7,10,80,27.3,36,114,143,0,20,23,14,0,686,26,93,36.7,14,0,425,10,46,46,930,476,51.2,143,0,29,0,0,0,113,50,102,32.9
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,23,1999,22,12,1313,14.6,0,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,0.2,0.2,0.8,1.0,0.01,0.06,0.07,0.01,0.07,2,0,0.0,0.14,0.00,0.00,,19.4,0,0.08,-0.2,-0.2,732,844,86.7,12095,2953,365,398,91.7,279,312,89.4,66,92,71.7,+0.2,8,67,8,0,50,807,37,1,129,6,3,0,0,0,0,665,80,99,121,650,38,14,4,4,9,21,20,24,1.77,22,0,1,0,0,4,0.29,4,0,0,0,0,0,24,16,5,16,3,8,28.6,20,92,31.0,84,179,34,0,26,47,18,1,977,25,13,46.2,6,0,662,3,8,14,745,688,92.3,15,0,19,0,0,0,138,18,10,64.3
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,3,2,66.7,0.82,0.54,0.33,0.50,16.7,0,0.17,+0.5,+0.5,73,98,74.5,1154,299,38,45,84.4,29,38,76.3,5,8,62.5,-0.7,4,5,4,2,9,93,5,0,27,0,6,0,0,0,0,66,13,19,19,59,7,5,3,0,3,5,7,11,2.99,8,0,2,0,1,1,0.27,1,0,0,0,0,0,13,8,8,4,1,5,38.5,8,27,33.3,17,41,23,0,5,16,2,0,153,4,12,66.7,6,1,104,0,12,13,152,96,63.2,24,0,6,0,0,0,26,5,13,27.8
Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,8,2,352,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.8,0.11,0.09,0.21,0.11,0.21,4,1,25.0,1.02,0.26,0.00,0.00,10.8,0,0.11,-0.4,-0.4,107,146,73.3,1847,555,44,55,80.0,48,60,80.0,9,15,60.0,-0.4,3,10,2,0,11,140,6,0,49,1,2,4,0,4,0,116,10,20,25,116,3,0,0,1,8,12,8,8,2.05,7,0,1,0,0,0,0.00,0,0,0,0,0,0,14,12,8,5,1,5,33.3,10,28,27.5,37,44,21,0,4,28,6,0,195,9,6,60.0,3,1,121,0,8,3,134,107,79.9,11,0,16,0,0,0,40,2,8,20.0
Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,2000,25,13,1256,14.0,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45,38,19,50.0,2.72,1.36,0.08,0.16,15.3,0,0.12,-1.5,-1.5,392,520,75.4,5845,1714,217,258,84.1,148,197,75.1,14,31,45.2,+0.2,13,30,16,8,40,501,19,1,115,5,26,2,0,0,0,418,74,28,419,60,12,10,6,5,7,39,20,47,3.37,31,1,3,4,4,7,0.50,5,0,0,1,1,0,38,25,14,18,6,17,58.6,12,93,31.0,63,123,114,0,31,55,8,0,764,10,67,53.3,27,1,562,19,43,33,733,546,74.5,92,0,27,0,0,0,92,19,35,35.2
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,33,24,2108,23.4,1,7,1,0,0,4,0,0.04,0.30,0.34,0.04,0.34,2.0,2.0,5.3,7.4,0.09,0.23,0.31,0.09,0.31,31,14,45.2,1.32,0.60,0.03,0.07,20.1,4,0.07,-1.0,-1.0,834,1131,73.7,17669,5752,332,390,85.1,318,385,82.6,174,311,55.9,+1.7,56,98,37,4,133,1008,123,2,179,87,39,67,38,17,1,743,129,259,116,966,19,10,4,6,31,51,36,101,4.31,65,20,4,6,3,13,0.56,10,2,0,0,1,0,41,30,21,15,5,13,21.7,47,169,29.9,139,288,139,0,32,89,10,1,1422,22,52,54.1,44,3,1006,14,45,62,1179,1002,85.0,87,0,23,0,0,0,149,19,20,48.7
Michel Aebischer,ch SUI,MF,Bologna,it Serie A,25,1997,7,2,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.05,0.12,0.17,0.05,0.17,2,2,100.0,0.82,0.82,0.00,0.00,20.8,0,0.07,-0.1,-0.1,122,133,91.7,1990,464,64,67,95.5,40,44,90.9,12,15,80.0,-0.3,3,5,1,0,8,125,8,0,27,4,1,4,0,1,0,109,18,6,21,106,4,0,0,0,0,2,1,4,1.64,3,0,0,0,1,0,0.00,0,0,0,0,0,0,7,2,3,2,2,3,42.9,4,14,21.5,27,27,11,0,3,9,2,0,154,9,4,50.0,1,0,107,0,2,2,118,103,87.3,3,0,10,0,0,0,22,3,6,33.3
Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,19,2003,16,5,611,6.8,2,0,2,0,0,5,1,0.29,0.00,0.29,0.29,0.29,1.9,1.9,0.2,2.1,0.28,0.03,0.31,0.28,0.31,18,7,38.9,2.65,1.03,0.11,0.29,15.0,0,0.10,+0.1,+0.1,116,152,76.3,1656,258,68,84,81.0,39,48,81.3,4,8,50.0,-0.2,5,3,6,2,10,143,9,0,24,3,8,0,0,0,0,118,22,12,10,128,1,6,3,0,2,10,9,22,3.24,15,0,1,3,1,3,0.44,2,0,1,0,0,0,8,4,1,6,1,4,50.0,4,54,27.0,25,80,95,0,5,13,0,0,289,0,50,36.4,9,1,225,6,31,28,351,207,59.0,63,1,15,0,0,0,41,9,17,34.6
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,20,16,1474,16.4,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.9,1.0,0.01,0.06,0.06,0.01,0.06,4,0,0.0,0.24,0.00,0.00,,21.4,0,0.02,-0.1,-0.1,515,729,70.6,9673,5004,206,249,82.7,254,333,76.3,53,128,41.4,+0.1,13,44,18,10,52,554,175,0,75,16,37,0,0,0,0,340,167,222,30,463,49,168,2,3,18,29,26,24,1.47,18,2,1,3,0,2,0.12,1,0,1,0,0,0,41,22,22,11,8,22,56.4,17,57,28.2,90,86,26,0,25,64,43,0,902,48,9,73.7,14,1,427,0,8,9,495,426,86.1,18,0,28,0,1,0,138,33,37,47.1
Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,61,82,74.4,1695,1037,14,14,100.0,30,30,100.0,16,37,43.2,0.0,0,1,0,0,0,48,34,0,3,1,0,0,0,0,0,48,1,33,30,36,0,0,10,0,4,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,1,0,95,75,0,,0,0,38,0,0,0,26,25,96.2,0,0,0,0,0,0,15,0,0,
Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,20,2002,24,19,1673,18.6,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,1.1,1.0,0.4,1.4,0.06,0.02,0.08,0.06,0.08,16,1,6.3,0.86,0.05,0.00,0.00,10.8,0,0.06,-1.1,-1.0,752,888,84.7,14205,3660,318,361,88.1,295,333,88.6,117,146,80.1,-0.4,10,61,10,0,72,863,25,1,143,27,3,1,0,0,1,658,100,130,108,719,34,0,4,3,10,27,22,29,1.56,22,1,0,2,0,1,0.05,1,0,0,0,0,0,51,37,24,22,5,15,53.6,13,103,31.1,105,179,47,0,22,105,30,0,1085,54,32,69.2,19,2,705,3,7,20,721,674,93.5,26,0,29,0,1,0,185,29,28,50.9
Kevin Agudelo,co COL,"FW,MF",Spezia,it Serie A,23,1998,19,8,952,10.6,2,0,2,0,0,2,1,0.19,0.00,0.19,0.19,0.19,1.6,1.6,0.7,2.3,0.17,0.07,0.24,0.17,0.24,16,7,43.8,1.51,0.66,0.13,0.29,16.0,0,0.10,+0.4,+0.4,197,269,73.2,2905,847,105,126,83.3,80,100,80.0,4,17,23.5,-0.7,8,17,8,2,23,263,6,0,92,4,11,1,1,0,0,200,39,30,223,22,11,2,1,1,8,13,12,29,3.03,14,0,4,3,6,3,0.31,1,0,0,0,0,2,29,22,11,14,4,7,53.8,6,64,23.8,55,141,73,0,20,37,3,0,425,7,31,56.1,24,1,334,8,16,40,365,281,77.0,50,0,34,0,0,0,68,12,14,46.2
Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,26,1996,28,28,2498,27.8,2,2,2,0,0,3,0,0.07,0.07,0.14,0.07,0.14,1.9,1.9,0.4,2.3,0.07,0.01,0.08,0.07,0.08,25,7,28.0,0.90,0.25,0.08,0.29,8.5,0,0.08,+0.1,+0.1,1777,1978,89.8,41106,13330,428,460,93.0,935,981,95.3,404,515,78.4,+1.6,3,102,2,0,74,1918,60,1,174,95,2,0,0,0,0,1636,90,252,1684,195,52,5,3,3,21,34,16,11,0.40,9,0,0,1,0,4,0.14,3,0,0,0,1,0,29,12,17,12,0,8,42.1,11,61,34.5,95,78,4,0,16,77,146,2,2255,272,35,83.3,5,0,1593,0,7,6,1725,1700,98.6,2,0,17,1,2,0,209,101,41,71.1
Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,6,1,16.7,3.58,0.60,0.17,1.00,12.1,0,0.18,-0.1,-0.1,31,43,72.1,469,43,18,25,72.0,10,15,66.7,2,2,100.0,-0.3,1,2,0,0,2,41,2,1,15,0,4,0,0,0,0,24,9,10,5,31,3,0,1,0,0,0,0,3,1.79,3,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,0.0,1,4,22.2,0,8,10,0,0,1,0,0,59,0,15,100.0,1,0,38,2,5,2,78,53,67.9,16,0,1,0,0,0,3,4,2,66.7
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,24,18,1788,19.9,0,2,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,0.6,0.8,0.01,0.03,0.04,0.01,0.04,8,1,12.5,0.40,0.05,0.00,0.00,22.5,0,0.02,-0.2,-0.2,1253,1484,84.4,22066,8564,580,630,92.1,559,639,87.5,103,176,58.5,+1.4,10,113,30,6,124,1240,244,3,140,25,43,1,0,1,0,957,293,234,24,1183,34,212,10,5,17,43,34,21,1.06,17,1,0,2,1,3,0.15,3,0,0,0,0,0,76,43,40,28,8,38,62.3,23,118,33.9,154,142,52,0,25,129,60,1,1730,69,25,53.3,10,0,1007,3,14,8,1137,1054,92.7,47,0,29,0,0,1,191,33,32,50.8
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,22,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,2,100.0,24,0,2,2,100.0,0,0,,0,0,,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,0,1,0,,0,1,33.3,0,0,3,0,0,1,0,0,3,0,0,,0,0,1,0,0,0,1,1,100.0,0,0,0,0,0,0,1,0,0,
Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,3,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,30,34,88.2,567,86,13,15,86.7,9,10,90.0,6,7,85.7,0.0,0,0,0,0,1,33,1,0,7,2,0,0,0,0,0,29,2,3,5,28,1,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,6,35.3,4,10,3,0,2,0,2,0,39,0,0,,0,0,34,0,0,1,35,32,91.4,1,0,2,0,0,0,3,1,3,25.0
Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,23,1999,10,10,900,10.0,0,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,0.6,0.8,0.02,0.06,0.08,0.02,0.08,5,3,60.0,0.50,0.30,0.00,0.00,17.9,0,0.04,-0.2,-0.2,542,607,89.3,11027,3595,192,205,93.7,260,281,92.5,85,110,77.3,+0.4,7,28,3,1,41,589,18,1,69,18,3,0,0,0,0,481,45,81,69,486,32,6,2,0,8,9,5,15,1.50,14,0,0,0,0,1,0.10,1,0,0,0,0,0,22,14,16,6,0,10,47.6,11,34,36.2,52,31,11,0,3,47,27,0,697,98,11,0.0,0,0,456,4,2,2,475,468,98.5,1,0,11,0,0,0,113,14,4,77.8
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,21,10,872,9.7,1,1,1,0,0,2,0,0.10,0.10,0.21,0.10,0.21,1.3,1.3,1.1,2.4,0.14,0.11,0.25,0.14,0.25,14,2,14.3,1.44,0.21,0.07,0.50,20.7,0,0.09,-0.3,-0.3,307,366,83.9,5002,925,144,159,90.6,125,143,87.4,26,43,60.5,-0.1,6,17,8,1,27,356,10,0,54,4,3,0,0,0,0,290,40,36,261,80,13,0,3,0,5,11,9,18,1.86,16,0,1,0,0,2,0.21,2,0,0,0,0,0,17,9,4,10,3,7,53.8,6,40,22.9,42,101,32,0,7,38,11,0,477,11,17,55.6,12,1,311,2,17,11,344,301,87.5,41,0,20,0,0,0,103,13,7,65.0
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,27,25,2187,24.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.02,0.00,0.02,0.02,0.02,6,1,16.7,0.25,0.04,0.00,0.00,12.8,0,0.07,-0.4,-0.4,1059,1273,83.2,24242,6892,238,272,87.5,566,626,90.4,241,348,69.3,-0.1,2,90,5,0,79,1248,25,2,125,29,1,0,0,0,0,931,99,243,202,941,79,13,9,1,28,32,15,10,0.41,9,0,0,0,0,1,0.04,1,0,0,0,0,0,46,33,36,6,4,17,63.0,10,107,40.8,166,87,9,0,27,93,103,2,1515,196,11,85.7,6,0,993,1,8,6,992,982,99.0,4,0,8,0,0,1,233,64,43,59.8
Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,18,14,1166,13.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.3,1.5,0.02,0.10,0.12,0.02,0.12,9,3,33.3,0.69,0.23,0.00,0.00,22.8,0,0.03,-0.3,-0.3,430,607,70.8,7651,3279,205,240,85.4,165,221,74.7,53,110,48.2,-1.3,14,38,19,5,53,498,109,2,72,7,29,0,0,0,0,327,112,168,132,335,25,102,3,3,9,20,34,28,2.16,25,1,2,0,0,0,0.00,0,0,0,0,0,0,23,12,9,11,3,11,61.1,7,46,35.7,45,52,32,0,17,52,30,0,792,44,28,50.0,15,2,439,10,21,15,534,455,85.2,37,0,18,0,0,0,107,16,19,45.7
Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,20,2001,18,15,1378,15.3,0,2,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,1.2,1.6,0.03,0.08,0.11,0.03,0.11,8,2,25.0,0.52,0.13,0.00,0.00,15.5,0,0.05,-0.4,-0.4,567,763,74.3,9784,3341,292,320,91.3,215,274,78.5,57,134,42.5,+0.8,15,19,12,7,30,595,168,1,107,28,40,27,8,16,1,426,159,178,511,85,29,128,0,2,22,25,25,36,2.35,21,9,4,1,1,6,0.39,4,1,0,0,1,0,58,31,44,10,4,21,56.8,16,101,31.9,183,88,46,0,27,85,25,0,978,48,37,54.4,35,2,587,11,23,23,627,553,88.2,43,0,16,1,0,0,102,18,19,48.6
