Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Jeremías Ledesma,ar ARG,GK,Cádiz,La Liga,29,1993,32,32,2880,32,43,1.34,130,94,73.8,6,13,13,11,34.4,10,9,1,0,10,Matches,0,9,0,45.2,0.29,2.2,0.07,275,722,38.1,694,88,69.7,53.2,281,84.7,64.7,318,30,9.4,12,0.38,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,2,166,0,0,
Bernd Leno,de GER,GK,Arsenal,Premier League,30,1992,4,4,360,4,9,2.25,19,9,52.6,1,0,3,1,25,0,0,0,0,,Matches,0,1,0,7.3,0.39,-1.7,-0.41,16,53,30.2,74,12,37.8,37.1,37,67.6,49.8,48,2,4.2,1,0.25,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,
Luca Lezzerini,it ITA,GK,Venezia,Serie A,27,1995,6,6,495,5.5,9,1.64,39,30,76.9,2,1,3,0,0,0,0,0,0,,Matches,0,0,0,11.6,0.31,2.6,0.47,30,70,42.9,155,39,33.5,32.9,42,42.9,34.9,57,2,3.5,2,0.36,11.4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,
Andreas Linde,se SWE,GK,Greuther Fürth,Bundesliga,28,1993,9,9,810,9,16,1.78,49,33,69.4,1,4,4,3,33.3,1,1,0,0,0,Matches,0,4,1,14.6,0.29,-0.4,-0.04,62,185,33.5,300,48,45.3,39.4,79,62,47.6,130,9,6.9,4,0.44,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,
Hugo Lloris,fr FRA,GK,Tottenham,Premier League,35,1986,32,32,2880,32,38,1.19,122,87,70.5,18,3,11,12,37.5,2,2,0,0,0,Matches,1,5,1,36.5,0.29,-0.5,-0.01,137,290,47.2,563,124,35.9,34,232,37.9,33.1,298,19,6.4,22,0.69,14.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.02,0.02,0,0.02,0,0,3,0,0,0,0,0,0,131,0,1,0
Anthony Lopes,pt POR,GK,Lyon,Ligue 1,31,1990,30,30,2622,29.1,39,1.34,128,94,71.9,11,11,8,7,23.3,3,3,0,0,0,Matches,1,6,3,37,0.27,1,0.03,135,280,48.2,805,128,27.7,31.4,186,30.6,33.1,215,10,4.7,21,0.72,15.3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,119,0,1,0
Diego López,es ESP,GK,Espanyol,La Liga,40,1981,30,30,2637,29.3,40,1.37,122,86,69.7,10,9,11,9,30,3,3,0,0,0,Matches,0,4,2,35.8,0.27,-2.2,-0.07,153,407,37.6,716,164,40.9,38,233,48.9,40.5,345,38,11,23,0.78,13.9,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,155,0,0,
Pau López,es ESP,GK,Marseille,Ligue 1,27,1994,27,27,2430,27,24,0.89,74,51,73,14,6,7,10,37,4,4,0,0,0,Matches,0,4,0,28.2,0.34,2.2,0.08,147,319,46.1,1084,130,23.8,29.5,153,39.9,37.2,162,24,14.8,26,0.96,16.5,0,1,0,0,3,0,0,0.04,0.04,0,0.04,0,0,0.6,0.6,0,0.02,0.02,0,0.02,0,0,3,0,0,0,0,0,0,152,0,0,
Jonas Lössl,dk DEN,GK,Brentford,Premier League,33,1989,2,2,180,2,5,2.5,7,2,28.6,0,0,2,0,0,0,0,0,0,,Matches,0,0,0,3.3,0.46,-1.7,-0.87,13,30,43.3,49,6,53.1,38.9,13,30.8,34.2,14,0,0,4,2,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
Marcel Lotka,pl POL,GK,Hertha BSC,Bundesliga,20,2001,6,5,525,5.8,15,2.57,32,19,59.4,1,0,4,1,20,2,2,0,0,0,Matches,0,3,0,14.4,0.4,-0.6,-0.11,45,110,40.9,161,29,47.8,41.5,50,66,52.2,58,4,6.9,5,0.86,13.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,37,0,0,
