Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Alexandre Oukidja,dz ALG,GK,Metz,Ligue 1,33,1988,19,19,1707,19,37,1.95,81,48,58,2,8,9,3,15.8,3,3,0,0,0,Matches,1,2,2,32,0.36,-3,-0.16,143,334,42.8,386,118,53.9,44.8,154,81.8,59.3,166,26,15.7,24,1.27,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,1,102,0,0,
Jesús Owono,gq EQG,GK,Alavés,La Liga,21,2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,,Matches,0,0,0,0.7,0.16,-0.3,-0.35,9,21,42.9,20,2,90,60,3,100,75,4,0,0,2,2,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
Fernando Pacheco,es ESP,GK,Alavés,La Liga,29,1992,30,30,2693,29.9,51,1.7,118,71,60.2,6,5,19,6,20,7,4,3,0,42.9,Matches,0,8,0,47.5,0.36,-3.5,-0.12,333,654,50.9,638,72,69.9,49.7,275,75.6,53.1,301,23,7.6,23,0.77,14.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0,0.01,0.01,0,0.01,0,0,3,0,0,0,0,0,0,125,0,0,
Daniele Padelli,it ITA,GK,Udinese,Serie A,36,1985,2,2,180,2,8,4,11,3,27.3,0,0,2,0,0,0,0,0,0,,Matches,0,0,0,5.1,0.46,-2.9,-1.44,11,35,31.4,63,9,39.7,32.3,14,71.4,50.2,20,1,5,1,0.5,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
Ivor Pandur,hr CRO,GK,Hellas Verona,Serie A,22,2000,3,3,270,3,6,2,14,9,64.3,1,0,2,0,0,1,1,0,0,0,Matches,1,1,0,5.1,0.29,-0.9,-0.31,14,26,53.8,53,10,37.7,36.8,15,40,34.2,9,1,11.1,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,
Rui Patrício,pt POR,GK,Roma,Serie A,34,1988,33,33,2970,33,37,1.12,120,87,72.5,17,7,9,13,39.4,5,4,1,0,20,Matches,1,4,2,33.5,0.24,-1.5,-0.05,180,381,47.2,729,127,42.8,37.1,199,34.7,33.3,218,5,2.3,16,0.48,12.9,0,0,0,0,2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01,0,0,1,0,0,0,0,0,0,139,0,0,
Gianluca Pegolo,it ITA,GK,Sassuolo,Serie A,41,1981,1,1,90,1,3,3,5,2,40,0,0,1,0,0,0,0,0,0,,Matches,0,1,0,1.8,0.36,-1.2,-1.2,6,10,60,26,4,30.8,31,8,25,25.6,12,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Philipp Pentke,de GER,GK,Hoffenheim,Bundesliga,36,1985,1,1,90,1,3,3,7,4,57.1,1,0,0,0,0,0,0,0,0,,Matches,0,0,0,2.3,0.33,-0.7,-0.71,4,11,36.4,33,5,30.3,29.5,7,14.3,27.4,8,0,0,1,1,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Juan Pérez,es ESP,GK,Osasuna,La Liga,25,1996,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,Matches,0,1,0,0.9,0.23,-1.1,-1.08,3,18,16.7,19,4,68.4,46.5,5,100,64.2,8,1,12.5,2,2,16.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
Mattia Perin,it ITA,GK,Juventus,Serie A,29,1992,3,3,270,3,4,1.33,8,4,50,2,0,1,1,33.3,0,0,0,0,,Matches,0,1,0,4.1,0.52,0.1,0.04,10,25,40,64,8,34.4,36.7,21,14.3,23.2,25,2,8,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,
Pavao Pervan,at AUT,GK,Wolfsburg,Bundesliga,34,1987,5,5,450,5,14,2.8,28,16,53.6,0,0,5,0,0,1,1,0,0,0,Matches,1,2,1,7.1,0.22,-5.9,-1.19,18,48,37.5,130,24,31.5,32.5,35,20,22.7,33,1,3,5,1,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,
Danijel Petković,me MNE,GK,Angers,Ligue 1,28,1993,15,15,1350,15,22,1.47,62,44,67.7,3,3,9,2,13.3,3,2,1,0,33.3,Matches,0,1,2,16.4,0.24,-3.6,-0.24,52,155,33.5,340,90,30.3,32.3,120,43.3,38.7,135,12,8.9,10,0.67,12.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,85,0,0,
Jordan Pickford,eng ENG,GK,Everton,Premier League,28,1994,28,28,2520,28,49,1.75,136,91,64.7,7,4,17,5,17.9,1,1,0,0,0,Matches,2,10,3,43,0.31,-3,-0.11,209,619,33.8,697,95,65.1,50.6,211,78.2,62.4,234,16,6.8,20,0.71,15.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,0,0,4,0,0,0,0,0,0,128,0,0,
Julian Pollersbeck,de GER,GK,Lyon,Ligue 1,27,1994,4,2,256,2.8,2,0.7,13,13,100,2,0,0,1,50,2,2,0,0,0,Matches,0,0,0,2.6,0.07,0.6,0.22,14,32,43.8,93,12,28,31.2,20,30,30.5,17,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
Nick Pope,eng ENG,GK,Burnley,Premier League,30,1992,29,29,2610,29,39,1.34,125,87,71.2,4,13,12,7,24.1,3,3,0,0,0,Matches,1,7,0,41.8,0.32,2.8,0.1,264,695,38,635,101,76.1,53.9,227,93.4,65.6,300,26,8.7,47,1.62,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,0,0,4,0,0,0,0,0,0,146,0,0,
Gaëtan Poussin,fr FRA,GK,Bordeaux,Ligue 1,23,1999,10,10,900,10,25,2.5,45,24,48.9,2,3,5,1,10,4,2,2,0,50,Matches,0,4,2,19.6,0.36,-3.4,-0.34,75,177,42.4,300,47,41.7,37.1,87,59.8,46,92,3,3.3,17,1.7,15.4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49,0,0,
Ivan Provedel,it ITA,GK,Spezia,Serie A,28,1994,26,26,2340,26,38,1.46,126,95,75.4,8,5,13,7,26.9,10,7,1,2,12.5,Matches,3,3,2,37.5,0.25,1.5,0.06,229,576,39.8,819,113,53.7,44.2,197,69,51.9,239,20,8.4,20,0.77,14.8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,2,116,0,0,
Boris Radunović,rs SRB,GK,Cagliari,Serie A,25,1996,3,3,270,3,5,1.67,15,11,73.3,0,2,1,1,33.3,2,1,1,0,50,Matches,1,0,0,5.9,0.31,0.9,0.3,26,69,37.7,75,11,61.3,45.1,28,82.1,54.2,29,1,3.4,1,0.33,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,
Predrag Rajković,rs SRB,GK,Reims,Ligue 1,26,1995,32,32,2880,32,35,1.09,120,90,74.2,8,13,11,11,34.4,6,4,1,1,20,Matches,2,8,1,32.2,0.24,-1.8,-0.06,165,459,35.9,810,161,41.7,38.7,225,53.8,43.5,315,25,7.9,39,1.22,16.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,176,0,1,0
Diant Ramaj,de GER,GK,Eint Frankfurt,Bundesliga,20,2001,1,1,90,1,1,1,4,3,75,0,1,0,0,0,0,0,0,0,,Matches,0,0,0,0.9,0.22,-0.1,-0.14,5,17,29.4,36,6,38.9,35.7,4,75,49,20,3,15,2,2,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Aaron Ramsdale,eng ENG,GK,Arsenal,Premier League,23,1998,27,27,2430,27,28,1.04,99,71,75.8,16,3,8,12,44.4,4,4,0,0,0,Matches,0,1,0,24.9,0.22,-3.1,-0.11,151,417,36.2,786,133,39.6,36.8,149,71.1,56.6,199,19,9.5,28,1.04,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,147,0,1,0
David Raya,es ESP,GK,Brentford,Premier League,26,1995,19,19,1710,19,20,1.05,81,61,76.5,8,4,7,6,31.6,1,1,0,0,0,Matches,1,2,0,20.7,0.25,0.7,0.04,201,468,42.9,685,92,52.1,42,159,69.8,52.1,188,15,8,23,1.21,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,98,0,0,
Manolo Reina,es ESP,GK,Mallorca,La Liga,37,1985,18,18,1620,18,25,1.39,64,40,64.1,4,8,6,6,33.3,3,2,1,0,33.3,Matches,0,1,1,21.6,0.3,-2.4,-0.13,107,299,35.8,393,66,54.2,44.2,152,56.6,43.5,161,10,6.2,11,0.61,15,0,0,0,0,4,1,0,0,0,0,0,0,0,0.3,0.3,0,0.02,0.02,0,0.02,0,0,6,0,0,0,0,0,0,84,0,0,
Pepe Reina,es ESP,GK,Lazio,Serie A,39,1982,15,15,1350,15,29,1.93,56,30,55.4,6,4,5,2,13.3,5,4,0,1,0,Matches,0,2,0,24.2,0.37,-4.8,-0.32,99,182,54.4,426,70,35,33.2,99,33.3,32.1,120,6,5,10,0.67,13.9,0,1,0,0,3,0,0,0.07,0.07,0,0.07,0,0,0.3,0.3,0,0.02,0.02,0,0.02,0,1,1,0,0,0,1,0,1,61,0,0,
Álex Remiro,es ESP,GK,Real Sociedad,La Liga,27,1995,29,29,2610,29,25,0.86,84,61,73.8,13,10,6,18,62.1,4,3,1,0,25,Matches,1,4,0,26.9,0.28,1.9,0.07,211,452,46.7,814,101,41,36.2,203,58.1,47.3,255,19,7.5,29,1,15.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,132,0,0,
Sergio Rico,es ESP,GK,Mallorca,La Liga,28,1993,12,12,1080,12,21,1.75,40,24,55,4,0,8,1,8.3,4,3,1,0,25,Matches,0,3,2,16.2,0.33,-2.8,-0.23,89,183,48.6,233,39,56.2,44.6,76,68.4,51.8,109,4,3.7,4,0.33,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,
Sergio Rico,es ESP,GK,Paris S-G,Ligue 1,28,1993,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,0,,Matches,0,0,0,1.1,0.41,0.1,0.52,2,3,66.7,8,1,37.5,32.3,0,,,4,0,0,1,3.91,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Manuel Riemann,de GER,GK,Bochum,Bundesliga,33,1988,28,28,2520,28,39,1.39,134,98,70.9,8,6,14,7,25,3,0,2,1,100,Matches,1,5,4,45.1,0.33,10.1,0.36,505,1043,48.4,1248,89,70.7,49.6,219,73.5,52.7,236,25,10.6,48,1.71,17.6,0,1,0,0,2,0,0,0.04,0.04,0,0.04,0.8,0,0.7,0.7,0.03,0.02,0.05,0,0.02,0,0,3,0,0,1,0,0,0,173,0,0,
Leonardo Román,es ESP,GK,Mallorca,La Liga,21,2000,2,2,180,2,5,2.5,13,10,69.2,0,0,2,0,0,1,1,0,0,0,Matches,0,0,1,3.1,0.19,-0.9,-0.43,12,32,37.5,53,6,47.2,39.7,16,43.8,38.7,21,2,9.5,3,1.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
Sergio Romero,ar ARG,GK,Venezia,Serie A,35,1987,16,16,1440,16,33,2.06,99,74,72.7,3,4,9,3,18.8,6,6,0,0,0,Matches,0,1,2,31.6,0.28,0.6,0.04,119,266,44.7,449,101,44.5,38.1,141,46.8,39.3,159,11,6.9,8,0.5,12.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,0,1,1,0,0,0,0,0,1,83,0,0,
Francesco Rossi,it ITA,GK,Atalanta,Serie A,30,1991,1,0,37,0.4,1,2.43,2,1,50,0,0,0,0,,0,0,0,0,,Matches,0,0,0,1.2,0.59,0.2,0.46,2,7,28.6,12,0,41.7,42,4,50,54,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Gerónimo Rulli,ar ARG,GK,Villarreal,La Liga,29,1992,28,28,2520,28,24,0.86,84,61,75,12,8,8,13,46.4,4,3,1,0,25,Matches,0,2,1,23.7,0.26,0.7,0.03,138,314,43.9,948,143,24.9,32.5,184,42.4,39.6,262,26,9.9,27,0.96,15.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,133,0,0,
Mathew Ryan,au AUS,GK,Real Sociedad,La Liga,30,1992,3,3,270,3,5,1.67,15,11,73.3,2,0,1,1,33.3,1,1,0,0,0,Matches,0,3,0,5,0.28,0,0.01,20,58,34.5,88,14,51.1,42.2,19,68.4,49.3,36,4,11.1,1,0.33,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,
Frederik Rønnow,dk DEN,GK,Union Berlin,Bundesliga,29,1992,5,5,450,5,3,0.6,15,13,80,4,1,0,2,40,0,0,0,0,,Matches,0,0,1,3.1,0.21,1.1,0.23,37,106,34.9,156,20,53.8,42.3,34,64.7,50.5,40,7,17.5,2,0.4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,
José Sá,pt POR,GK,Wolves,Premier League,29,1993,32,32,2880,32,28,0.87,125,105,83.2,15,4,13,11,34.4,7,7,0,0,0,Matches,1,1,1,36.9,0.25,9.9,0.31,138,420,32.9,712,169,42.8,39.6,226,50.9,42.7,290,31,10.7,36,1.13,15.7,0,1,0,0,3,0,0,0.03,0.03,0,0.03,0,0,1,1,0,0.03,0.03,0,0.03,0,3,11,0,0,0,0,0,3,189,0,0,
Romain Salin,fr FRA,GK,Rennes,Ligue 1,37,1984,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,,Matches,0,0,0,1,0.32,-1,-1.04,6,9,66.7,29,8,31,35.3,3,0,13.3,6,1,16.7,1,1,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,
Robert Sánchez,es ESP,GK,Brighton,Premier League,24,1997,31,31,2789,31,35,1.13,118,85,72.9,9,13,9,9,29,4,3,0,1,0,Matches,0,4,0,36.6,0.29,1.6,0.05,160,514,31.1,1104,136,35.1,37,184,69,54.1,245,30,12.2,30,0.97,14.5,0,0,0,0,3,1,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01,0,0,3,0,0,0,0,0,0,135,0,0,
Kasper Schmeichel,dk DEN,GK,Leicester City,Premier League,35,1986,30,30,2700,30,50,1.67,146,103,69.9,11,7,12,5,16.7,9,6,2,1,25,Matches,1,13,1,47.8,0.29,-1.2,-0.04,219,513,42.7,803,121,47.9,39.8,246,52,44,243,17,7,15,0.5,12.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,134,0,1,0
Marvin Schwäbe,de GER,GK,Köln,Bundesliga,26,1995,17,17,1530,17,23,1.35,75,52,69.3,8,4,5,3,17.6,0,0,0,0,,Matches,2,1,0,21.5,0.29,-1.5,-0.09,121,241,50.2,679,65,29.2,32,115,37.4,36.3,122,8,6.6,7,0.41,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,68,0,0,
Alexander Schwolow,de GER,GK,Hertha BSC,Bundesliga,29,1992,25,25,2175,24.2,51,2.11,120,73,61.7,7,5,13,4,16,5,5,0,0,0,Matches,1,7,0,48,0.37,-3,-0.13,164,386,42.5,629,129,39.4,36.2,204,67.6,50.8,258,12,4.7,14,0.58,13.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,124,0,0,
Matz Sels,be BEL,GK,Strasbourg,Ligue 1,30,1992,31,31,2790,31,34,1.1,97,68,69.1,13,11,7,11,35.5,4,4,0,0,0,Matches,0,4,1,31.9,0.3,-1.1,-0.03,163,376,43.4,606,113,45.5,38.2,198,50.5,43.6,233,20,8.6,20,0.65,14.3,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,122,1,0,100
Luigi Sepe,it ITA,GK,Salernitana,Serie A,30,1991,10,10,879,9.8,19,1.95,51,35,68.6,1,5,4,0,0,3,3,0,0,0,Matches,0,0,0,18.4,0.31,-0.6,-0.06,107,207,51.7,278,24,57.2,44.5,76,63.2,47.1,98,3,3.1,7,0.72,14.4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,49,0,0,
Rui Silva,pt POR,GK,Betis,La Liga,28,1994,18,18,1620,18,19,1.06,55,38,69.1,9,3,6,5,27.8,2,2,0,0,0,Matches,0,3,0,19.6,0.32,0.6,0.03,98,247,39.7,440,80,39.8,36.3,129,55.8,45.4,158,8,5.1,17,0.94,14.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,82,0,0,
Marco Silvestri,it ITA,GK,Udinese,Serie A,31,1991,29,29,2610,29,41,1.41,105,69,65.7,9,12,8,6,20.7,5,5,0,0,0,Matches,0,5,1,35.2,0.3,-4.8,-0.17,170,428,39.7,595,77,53.3,41.8,210,52.9,42.4,204,11,5.4,3,0.1,11.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,1,5,0,0,0,0,0,1,120,0,0,
Unai Simón,es ESP,GK,Athletic Club,La Liga,24,1997,28,28,2520,28,27,0.96,89,61,73,10,10,8,9,32.1,3,3,0,0,0,Matches,0,2,1,24.9,0.26,-1.1,-0.04,145,327,44.3,569,155,42.2,37,188,46.3,41.4,281,18,6.4,19,0.68,15.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,128,0,0,
Salvatore Sirigu,it ITA,GK,Genoa,Serie A,35,1987,33,33,2970,33,54,1.64,160,109,68.1,2,16,15,9,27.3,4,3,1,0,25,Matches,3,7,2,47.8,0.29,-4.2,-0.13,258,593,43.5,859,94,50.8,39.9,239,65.7,45.8,270,13,4.8,12,0.36,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,118,0,0,
Antonio Sivera,es ESP,GK,Alavés,La Liga,25,1996,3,2,187,2.1,3,1.44,9,7,77.8,0,1,1,1,50,1,1,0,0,0,Matches,0,1,0,2.1,0.13,-0.9,-0.44,22,56,39.3,44,4,77.3,54.6,28,78.6,58.2,31,6,19.4,1,0.48,11.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Łukasz Skorupski,pl POL,GK,Bologna,Serie A,30,1991,32,32,2880,32,45,1.41,141,105,73,10,8,14,11,34.4,7,7,0,0,0,Matches,1,4,2,46,0.29,3,0.09,215,477,45.1,869,139,45.5,38,244,33.6,30,313,19,6.1,6,0.19,11.6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,141,0,1,0
Yann Sommer,ch SUI,GK,M'Gladbach,Bundesliga,33,1988,30,30,2700,30,55,1.83,161,107,67.1,10,7,13,5,16.7,4,2,2,0,50,Matches,1,5,1,58.6,0.35,4.6,0.15,210,512,41,1134,141,36.9,34.8,195,47.7,40.6,215,14,6.5,32,1.07,15.3,0,1,0,0,2,0,0,0.03,0.03,0,0.03,0,0,0.3,0.3,0,0.01,0.01,0,0.01,0,0,8,0,0,0,0,0,0,167,0,0,
David Soria,es ESP,GK,Getafe,La Liga,29,1993,32,32,2874,31.9,37,1.16,112,75,68.8,7,11,14,10,31.3,4,2,1,1,33.3,Matches,0,5,1,34.7,0.29,-1.3,-0.04,326,760,42.9,747,81,74.6,52.1,240,84.6,58.2,297,37,12.5,26,0.81,14.4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,161,0,0,
Marco Sportiello,it ITA,GK,Atalanta,Serie A,29,1992,5,5,450,5,5,1,16,13,81.3,0,3,2,2,40,2,2,0,0,0,Matches,0,1,0,5.1,0.21,0.1,0.02,18,45,40,104,28,23.1,28.7,28,75,52.5,24,2,8.3,5,1,12.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,
Jason Steele,eng ENG,GK,Brighton,Premier League,31,1990,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,,Matches,0,1,0,1.2,0.25,-0.8,-0.77,3,7,42.9,32,2,12.5,26.2,6,50,43.8,11,1,9.1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Jed Steer,eng ENG,GK,Aston Villa,Premier League,29,1992,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,Matches,0,0,0,1.8,0.45,-1.2,-1.2,5,13,38.5,30,6,30,34.4,6,66.7,53.8,8,1,12.5,1,1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Zack Steffen,us USA,GK,Manchester City,Premier League,27,1995,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,,Matches,0,0,0,0.3,0.16,0.3,0.31,4,9,44.4,31,6,22.6,26,7,28.6,25.3,7,0,0,2,2,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
Thomas Strakosha,al ALB,GK,Lazio,Serie A,27,1995,18,18,1620,18,19,1.06,64,45,71.9,10,4,4,6,33.3,1,1,0,0,0,Matches,1,4,1,18.6,0.28,0.6,0.03,88,162,54.3,464,76,29.7,30.6,97,24.7,25.3,150,8,5.3,6,0.33,15.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,70,0,0,
Wojciech Szczęsny,pl POL,GK,Juventus,Serie A,32,1990,30,30,2700,30,25,0.83,86,63,73.3,16,9,5,12,40,5,2,3,0,60,Matches,2,5,0,27.2,0.28,2.2,0.07,161,315,51.1,731,128,34.7,34.6,158,38.6,34.7,285,21,7.4,13,0.43,13.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,2,5,0,0,0,0,0,2,109,0,0,
Ciprian Tătărușanu,ro ROU,GK,Milan,Serie A,36,1986,6,6,540,6,10,1.67,21,14,61.9,4,1,1,1,16.7,3,2,1,0,33.3,Matches,0,1,1,9,0.3,0,-0.01,37,79,46.8,168,12,39.3,36.8,38,34.2,37.6,49,2,4.1,4,0.67,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,0,0,
Marc-André ter Stegen,de GER,GK,Barcelona,La Liga,29,1992,29,29,2610,29,29,1,90,63,70,16,8,5,9,31,3,2,1,0,33.3,Matches,0,6,0,29.9,0.31,0.9,0.03,182,305,59.7,910,117,26.2,29.6,181,37,34.4,188,11,5.9,7,0.24,13,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,109,0,0,
Pietro Terracciano,it ITA,GK,Fiorentina,Serie A,32,1990,26,25,2322,25.8,32,1.24,75,47,60,14,5,6,7,28,3,2,1,0,33.3,Matches,0,2,2,27.2,0.33,-2.8,-0.11,245,462,53,1117,111,36.3,35.3,138,40.6,36.2,157,16,10.2,26,1.01,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,126,0,0,
Kevin Trapp,de GER,GK,Eint Frankfurt,Bundesliga,31,1990,28,28,2520,28,39,1.39,139,102,74.8,10,8,10,5,17.9,4,4,0,0,0,Matches,0,4,0,42.5,0.29,3.5,0.13,183,564,32.4,890,127,49.7,38.7,219,55.7,46.1,234,9,3.8,29,1.04,15.8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,145,0,0,
Sven Ulreich,de GER,GK,Bayern Munich,Bundesliga,33,1988,5,5,450,5,8,1.6,16,10,56.3,2,1,2,1,20,1,1,0,0,0,Matches,1,1,1,6.7,0.36,-0.3,-0.06,20,46,43.5,169,23,25.4,28,27,11.1,19.7,26,5,19.2,8,1.6,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,
Benjamin Uphoff,de GER,GK,Freiburg,Bundesliga,28,1993,2,2,180,2,7,3.5,12,5,41.7,0,1,1,0,0,0,0,0,0,,Matches,0,2,0,2.9,0.24,-4.1,-2.05,26,53,49.1,70,14,47.1,38.2,20,100,65.1,14,1,7.1,2,1,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
Rúben Vezo,pt POR,DF,Levante,La Liga,27,1994,1,1,4,23.2,0,0,0,0,,0,1,0,0,0,0,0,0,0,,Matches,0,0,0,0,,0,0,2,4,50,3,0,100,61.7,1,100,64,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0.7,0.7,0.2,0.9,0.03,0.01,0.04,0.03,0.04,0,27,25,0,3,40,30,1,1,211,61,39,61
