Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Lion Semić,de GER,DF,Dortmund,Bundesliga,18,2003,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
Stefano Sensi,it ITA,MF,Inter,Serie A,26,1995,9,1,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,0.18,0.15,0.33,0.18,0.33,Matches,3,0,0,1.62,0,0,,11.8,0,0.11,-0.3,-0.3,106,124,85.5,1791,310,65,72,90.3,30,37,81.1,11,13,84.6,-0.3,4,8,1,1,5,122,2,0,12,4,4,1,0,0,0,102,7,15,24,96,3,0,0,1,2,4,1,8,4.31,7,1,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,0,2,50,2,6,21.4,8,11,9,0,2,5,0,0,146,0,12,66.7,2,1,113,2,6,4,128,118,92.2,14,0,4,0,0,0,19,2,2,50
Stefano Sensi,it ITA,MF,Sampdoria,Serie A,26,1995,9,9,661,7.3,1,0,1,0,0,1,0,0.14,0,0.14,0.14,0.14,0.8,0.8,0.8,1.6,0.11,0.1,0.22,0.11,0.22,Matches,9,4,44.4,1.23,0.54,0.11,0.25,23.7,0,0.09,0.2,0.2,280,339,82.6,5354,942,110,129,85.3,124,139,89.2,41,56,73.2,-0.8,9,19,4,0,25,324,15,0,74,11,3,1,0,1,0,261,41,37,68,251,10,3,4,2,6,19,6,15,2.04,13,0,0,0,0,2,0.27,1,0,0,1,0,0,17,12,9,5,3,5,33.3,10,37,23.3,47,71,41,0,3,24,1,0,423,5,17,50,13,2,331,1,13,15,365,311,85.2,34,0,17,0,0,0,62,4,8,33.3
Luigi Sepe,it ITA,GK,Salernitana,Serie A,30,1991,10,10,879,9.8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,248,354,70.1,9512,7168,38,38,100,74,76,97.4,135,239,56.5,0,0,11,0,0,0,242,112,0,29,4,0,0,0,0,0,128,12,214,212,84,0,0,24,1,8,3,1,5,0.51,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,373,313,0,,0,0,159,0,0,1,162,160,98.8,0,0,0,0,0,0,49,0,0,
Suat Serdar,de GER,MF,Hertha BSC,Bundesliga,25,1997,26,23,1950,21.7,3,0,3,0,0,6,0,0.14,0,0.14,0.14,0.14,2.3,2.3,1.4,3.7,0.11,0.06,0.17,0.11,0.17,Matches,30,9,30,1.38,0.42,0.1,0.33,17.1,0,0.08,0.7,0.7,384,525,73.1,7211,2076,172,214,80.4,140,179,78.2,59,91,64.8,-1.4,20,38,17,1,54,514,11,2,164,19,4,0,0,0,0,363,83,79,58,426,21,2,3,6,8,33,24,45,2.08,29,0,5,6,3,2,0.09,2,0,0,0,0,0,64,38,26,32,6,14,32.6,29,118,27.4,119,234,78,0,38,103,11,0,846,25,50,55.7,45,2,658,10,41,54,691,519,75.1,70,0,39,0,0,0,144,20,21,48.8
Laurens Serpe,it ITA,DF,Genoa,Serie A,21,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,27,32,84.4,538,100,8,8,100,16,16,100,3,6,50,0,0,3,0,0,2,30,2,0,2,2,0,0,0,0,0,27,2,3,4,28,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,100,0,2,25,6,2,0,0,0,1,1,0,36,4,1,,0,0,24,0,1,1,31,31,100,1,0,0,0,0,0,1,0,1,0
Janni Serra,de GER,FW,Arminia,Bundesliga,24,1998,22,13,881,9.8,2,2,2,0,0,0,0,0.2,0.2,0.41,0.2,0.41,1.9,1.9,0.8,2.7,0.19,0.08,0.28,0.19,0.28,Matches,18,9,50,1.84,0.92,0.11,0.22,13.2,0,0.11,0.1,0.1,161,241,66.8,2167,381,94,124,75.8,40,68,58.8,10,15,66.7,1.2,11,14,5,0,18,221,20,1,81,2,1,0,0,0,0,112,80,49,117,38,30,3,11,3,3,12,13,19,1.94,15,0,1,1,1,3,0.31,1,0,1,1,0,0,3,1,1,1,1,1,14.3,6,66,32.2,15,85,105,0,7,9,21,0,395,24,43,38.9,8,1,188,2,43,28,480,270,56.3,63,0,11,0,0,0,55,56,88,38.9
Javier Serrano,es ESP,MF,Atlético Madrid,La Liga,19,2003,4,0,23,0.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,3,5,60,24,13,2,3,66.7,0,0,,0,0,,0,0,0,0,0,1,5,0,0,2,0,0,0,0,0,0,3,1,1,0,5,0,0,0,0,0,1,0,1,3.91,1,0,0,0,0,1,3.91,1,0,0,0,0,0,1,0,1,0,0,0,0,2,5,29.4,7,10,0,0,0,1,1,0,11,2,0,0,0,0,6,0,0,0,8,7,87.5,0,0,2,0,0,0,0,0,1,0
Nicolás Serrano,es ESP,MF,Athletic Club,La Liga,19,2003,13,3,312,3.5,1,0,1,0,0,0,0,0.29,0,0.29,0.29,0.29,0.4,0.4,0.1,0.5,0.12,0.03,0.15,0.12,0.15,Matches,7,5,71.4,2.02,1.44,0.14,0.2,28.7,0,0.06,0.6,0.6,86,125,68.8,1326,399,46,53,86.8,31,38,81.6,6,24,25,-0.1,3,10,2,2,7,117,8,0,21,2,7,4,3,1,0,83,21,21,99,18,6,2,0,2,2,10,9,4,1.15,3,1,0,0,0,0,0,0,0,0,0,0,0,9,7,2,5,2,4,40,6,22,23.2,19,49,27,0,9,15,1,0,182,5,10,57.1,5,0,130,3,13,5,152,113,74.3,19,0,7,0,0,0,31,1,7,12.5
Zidan Sertdemir,dk DEN,MF,Leverkusen,Bundesliga,17,2005,3,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches,0,0,,0,0,,,,0,,0,0,5,7,71.4,115,45,2,2,100,2,2,100,1,3,33.3,0,1,0,1,0,1,4,3,0,1,1,0,3,3,0,0,4,0,3,6,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,100,0,0,0,3,1,2,0,0,2,0,0,12,0,0,,0,0,6,0,1,2,7,6,85.7,2,0,2,0,0,0,1,0,0,
