Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Max Aarons,eng ENG,DF,Norwich City,Premier League,22,2000,28,27,2398,26.6,0,1,0,0,0,6,0,0,0.04,0.04,0,0.04,0.7,0.7,0.9,1.6,0.02,0.04,0.06,0.02,0.06,Matches,11,2,18.2,0.41,0.08,0,0,20.3,0,0.06,-0.7,-0.7,903,1204,75,15216,5823,463,513,90.3,349,457,76.4,81,185,43.8,0.1,14,42,31,7,82,913,291,2,144,17,40,0,0,0,0,690,259,255,134,762,24,270,2,7,24,44,46,32,1.2,23,1,3,2,0,4,0.15,4,0,0,0,0,0,61,35,44,17,0,36,65.5,19,95,27,205,112,35,0,57,105,61,0,1557,135,24,42,31,5,898,11,22,24,962,864,89.8,34,0,27,0,2,1,144,14,44,24.1
Yunis Abdelhamid,ma MAR,DF,Reims,Ligue 1,34,1987,28,28,2443,27.1,1,0,1,0,0,5,1,0.04,0,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,Matches,17,5,29.4,0.63,0.18,0.06,0.2,18.4,0,0.07,-0.2,-0.2,1061,1291,82.2,22806,7729,287,321,89.4,610,686,88.9,155,246,63,-0.2,6,68,5,0,72,1199,92,0,159,42,1,0,0,0,0,970,103,218,868,335,40,13,3,3,28,35,26,16,0.59,11,0,2,0,2,0,0,0,0,0,0,0,0,43,32,31,11,1,10,47.6,11,126,35.4,201,133,22,2,29,129,87,0,1568,204,26,70.6,12,1,990,0,14,10,1022,992,97.1,10,0,35,0,0,0,190,58,38,60.4
Salis Abdul Samed,gh GHA,MF,Clermont Foot,Ligue 1,22,2000,27,26,2218,24.6,1,0,1,0,0,11,3,0.04,0,0.04,0.04,0.04,0.8,0.8,1,1.8,0.03,0.04,0.07,0.03,0.07,Matches,18,5,27.8,0.73,0.2,0.06,0.2,20.3,0,0.04,0.2,0.2,1401,1523,92,25976,4572,562,599,93.8,654,688,95.1,166,194,85.6,-1,13,70,9,0,71,1507,16,0,201,20,7,0,0,0,0,1315,116,92,116,1332,45,3,8,2,16,30,19,36,1.46,26,0,0,4,2,1,0.04,1,0,0,0,0,0,49,31,22,22,5,16,30.2,37,172,29.6,183,300,99,0,23,91,14,0,1750,54,17,67.6,26,2,1342,4,18,37,1465,1356,92.6,44,2,39,0,0,0,212,22,22,50
Laurent Abergel,fr FRA,MF,Lorient,Ligue 1,29,1993,28,28,2446,27.2,0,2,0,0,0,8,0,0,0.07,0.07,0,0.07,1.8,1.8,2.1,4,0.07,0.08,0.15,0.07,0.15,Matches,24,6,25,0.88,0.22,0,0,22.1,0,0.08,-1.8,-1.8,1104,1342,82.3,21157,5592,440,489,90,473,538,87.9,170,249,68.3,-0.1,19,105,15,6,108,1318,24,5,248,38,20,0,0,0,0,1016,151,175,116,1190,18,4,2,7,14,45,47,48,1.77,34,2,0,7,5,5,0.18,4,0,0,0,1,0,103,64,43,51,9,50,37.9,82,217,28.4,267,405,92,0,43,177,11,0,1675,21,11,61.8,36,3,1244,2,25,42,1237,1157,93.5,50,0,39,0,0,0,244,12,10,54.5
Charles Abi,fr FRA,FW,Saint-Étienne,Ligue 1,22,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,2,6,33.3,24,0,1,2,50,1,3,33.3,0,0,,0,0,0,0,0,0,6,0,0,3,0,1,0,0,0,0,5,0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7.1,0,11,3,0,1,0,0,0,12,0,3,,0,0,9,0,4,0,12,8,66.7,2,0,1,0,0,0,2,1,0,100
Dickson Abiama,ng NGA,FW,Greuther Fürth,Bundesliga,23,1998,21,5,708,7.9,0,1,0,0,0,3,0,0,0.13,0.13,0,0.13,2.2,2.2,1.1,3.3,0.28,0.14,0.42,0.28,0.42,Matches,18,4,22.2,2.29,0.51,0,0,15.6,0,0.12,-2.2,-2.2,84,132,63.6,1192,316,50,73,68.5,24,37,64.9,4,9,44.4,-0.1,7,6,6,0,13,123,9,1,40,1,2,0,0,0,0,81,32,19,25,71,19,0,3,2,5,5,9,19,2.42,11,0,0,2,5,2,0.25,1,0,0,1,0,0,14,7,3,7,4,2,18.2,9,38,21,21,78,82,0,6,22,7,0,252,9,29,35.3,7,1,140,7,35,11,321,159,49.5,47,0,18,0,0,0,37,22,39,36.1
Matthis Abline,fr FRA,FW,Rennes,Ligue 1,19,2003,7,1,103,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.4,0.3,0.03,0.32,0.3,0.32,Matches,2,0,0,1.75,0,0,,8.6,0,0.17,-0.3,-0.3,8,10,80,100,22,4,6,66.7,4,4,100,0,0,,0,1,1,1,0,1,10,0,0,4,0,1,0,0,0,0,9,1,0,3,7,0,0,0,0,0,1,0,1,0.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,15.4,4,14,8,0,2,1,1,0,25,2,3,50,1,0,18,0,2,5,39,13,33.3,8,0,2,0,0,0,7,0,2,0
Tammy Abraham,eng ENG,FW,Roma,Serie A,24,1997,32,32,2706,30.1,15,4,13,2,2,9,0,0.5,0.13,0.63,0.43,0.57,18.9,17.4,3.4,20.8,0.63,0.11,0.74,0.58,0.69,Matches,85,30,35.3,2.83,1,0.15,0.43,12,2,0.2,-3.9,-4.4,447,616,72.6,6767,1622,270,353,76.5,121,174,69.5,37,45,82.2,0.6,31,31,26,3,58,558,58,5,178,9,18,0,0,0,0,400,130,86,53,431,61,1,21,0,9,33,22,74,2.46,51,1,1,5,3,11,0.37,5,0,1,3,2,0,33,22,10,15,8,10,43.5,13,131,30.7,44,180,203,0,20,47,25,0,993,28,178,47.8,34,3,545,21,72,41,1249,681,54.5,203,0,41,0,1,0,116,69,93,42.6
Luis Abram,pe PER,DF,Granada,La Liga,26,1996,8,6,560,6.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.08,0,0.08,0.08,0.08,Matches,2,0,0,0.32,0,0,,7,0,0.24,-0.5,-0.5,194,220,88.2,4320,1153,42,46,91.3,115,124,92.7,36,48,75,0,0,8,0,0,9,211,9,0,10,7,0,0,0,0,0,175,15,30,181,22,11,2,1,1,1,2,1,3,0.48,1,0,0,0,0,1,0.16,0,0,0,1,0,0,7,6,5,1,1,3,75,1,13,37.1,14,20,1,2,8,18,39,1,290,63,5,,0,0,156,0,2,0,187,182,97.3,1,0,5,0,0,1,25,12,15,44.4
Francesco Acerbi,it ITA,DF,Lazio,Serie A,34,1988,25,24,2086,23.2,3,0,3,0,0,1,1,0.13,0,0.13,0.13,0.13,1.5,1.5,0.4,1.9,0.07,0.02,0.08,0.07,0.08,Matches,11,3,27.3,0.47,0.13,0.27,1,9.4,0,0.14,1.5,1.5,1500,1652,90.8,31534,9846,469,502,93.4,773,817,94.6,239,304,78.6,-0.4,5,105,5,0,76,1597,55,2,137,61,1,0,0,0,0,1212,143,297,1257,280,66,1,4,1,16,18,9,15,0.65,11,1,0,2,0,2,0.09,1,0,0,0,1,0,18,9,13,5,0,5,35.7,9,40,29,74,53,11,0,16,61,101,1,1872,286,16,75,3,0,1217,0,7,3,1366,1344,98.4,8,0,16,1,0,0,246,68,40,63
Ragnar Ache,de GER,FW,Eint Frankfurt,Bundesliga,23,1998,11,0,175,1.9,0,1,0,0,0,0,0,0,0.51,0.51,0,0.51,0.4,0.4,0.3,0.7,0.23,0.14,0.37,0.23,0.37,Matches,9,1,11.1,4.63,0.51,0,0,14.6,0,0.05,-0.4,-0.4,31,58,53.4,466,90,13,24,54.2,15,25,60,1,3,33.3,0.7,2,1,2,2,1,56,2,0,23,1,6,0,0,0,0,30,14,14,9,31,3,2,0,1,2,3,5,5,2.57,3,0,1,0,0,1,0.51,0,0,0,1,0,0,2,2,0,1,1,2,66.7,1,14,30.4,5,18,23,0,3,2,1,0,103,1,17,66.7,5,0,59,5,10,7,131,77,58.8,23,0,5,0,0,0,13,17,8,68
Marcos Acuña,ar ARG,DF,Sevilla,La Liga,30,1991,25,20,1726,19.2,1,3,1,0,0,6,0,0.05,0.16,0.21,0.05,0.21,1.3,1.3,2.7,4,0.07,0.14,0.21,0.07,0.21,Matches,12,4,33.3,0.63,0.21,0.08,0.25,21,1,0.11,-0.3,-0.3,1181,1486,79.5,24322,9021,453,482,94,507,598,84.8,212,365,58.1,0.3,37,74,36,21,91,1227,259,2,125,77,100,32,1,26,0,858,241,387,1105,138,37,186,2,4,23,44,35,59,3.08,39,14,1,3,0,3,0.16,1,2,0,0,0,0,44,28,24,10,10,18,72,7,72,33.6,90,87,37,0,23,69,27,0,1671,44,16,76,39,3,1119,3,23,23,1181,1119,94.8,57,0,30,0,0,0,161,23,33,41.1
Che Adams,sct SCO,FW,Southampton,Premier League,25,1996,25,21,1823,20.3,7,3,7,0,0,0,0,0.35,0.15,0.49,0.35,0.49,6.3,6.3,2.5,8.8,0.31,0.13,0.44,0.31,0.44,Matches,44,22,50,2.17,1.09,0.16,0.32,13.2,0,0.14,0.7,0.7,284,414,68.6,4349,872,161,208,77.4,84,113,74.3,23,44,52.3,0.5,21,16,11,1,28,398,16,3,122,9,10,0,0,0,0,264,87,63,37,302,21,1,14,2,9,21,25,45,2.22,28,0,1,11,1,4,0.2,3,0,0,0,0,1,14,8,3,6,5,2,16.7,10,79,27.2,36,112,142,0,20,23,14,0,675,26,91,34.5,13,0,415,10,46,46,915,465,50.8,137,0,28,0,0,0,113,49,101,32.7
Tyler Adams,us USA,MF,RB Leipzig,Bundesliga,23,1999,21,11,1223,13.6,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,0.2,0.2,0.8,1,0.01,0.06,0.07,0.01,0.07,Matches,2,0,0,0.15,0,0,,19.4,0,0.08,-0.2,-0.2,732,844,86.7,12095,2953,365,398,91.7,279,312,89.4,66,92,71.7,0.2,8,67,8,0,50,807,37,1,129,6,3,0,0,0,0,665,80,99,121,650,38,14,4,4,9,21,20,24,1.77,22,0,1,0,0,4,0.29,4,0,0,0,0,0,24,14,5,16,3,8,28.6,20,92,31,84,179,34,0,26,47,18,1,977,25,13,46.2,6,0,662,3,8,14,745,688,92.3,15,0,17,0,0,0,138,18,10,64.3
Sargis Adamyan,am ARM,FW,Hoffenheim,Bundesliga,28,1993,13,2,331,3.7,1,0,1,0,0,0,0,0.27,0,0.27,0.27,0.27,0.5,0.5,0.7,1.2,0.14,0.19,0.32,0.14,0.32,Matches,3,2,66.7,0.82,0.54,0.33,0.5,16.7,0,0.17,0.5,0.5,73,98,74.5,1154,299,38,45,84.4,29,38,76.3,5,8,62.5,-0.7,4,5,4,2,9,93,5,0,27,0,6,0,0,0,0,66,13,19,19,59,7,5,3,0,3,5,7,11,2.99,8,0,2,0,1,1,0.27,1,0,0,0,0,0,13,8,8,4,1,5,38.5,8,27,33.3,17,41,23,0,5,16,2,0,153,4,12,66.7,6,1,104,0,12,13,152,96,63.2,24,0,6,0,0,0,26,5,13,27.8
Martin Adeline,fr FRA,MF,Reims,Ligue 1,18,2003,8,2,352,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.11,0.09,0.21,0.11,0.21,Matches,4,1,25,1.02,0.26,0,0,10.8,0,0.11,-0.4,-0.4,107,146,73.3,1847,555,44,55,80,48,60,80,9,15,60,-0.4,3,10,2,0,11,140,6,0,49,1,2,4,0,4,0,116,10,20,25,116,3,0,0,1,8,12,8,8,2.05,7,0,1,0,0,0,0,0,0,0,0,0,0,14,12,8,5,1,5,33.3,10,28,27.5,37,44,21,0,4,28,6,0,195,9,6,60,3,1,121,0,8,3,134,107,79.9,11,0,16,0,0,0,40,2,8,20
Amine Adli,fr FRA,FW,Leverkusen,Bundesliga,21,2000,25,13,1256,14,3,2,3,0,0,3,0,0.21,0.14,0.36,0.21,0.36,4.5,4.5,1.8,6.3,0.32,0.13,0.45,0.32,0.45,Matches,38,19,50,2.72,1.36,0.08,0.16,15.3,0,0.12,-1.5,-1.5,392,520,75.4,5845,1714,217,258,84.1,148,197,75.1,14,31,45.2,0.2,13,30,16,8,40,501,19,1,115,5,26,2,0,0,0,418,74,28,419,60,12,10,6,5,7,39,20,47,3.37,31,1,3,4,4,7,0.5,5,0,0,1,1,0,38,25,14,18,6,17,58.6,12,93,31,63,123,114,0,31,55,8,0,764,10,67,53.3,27,1,562,19,43,33,733,546,74.5,92,0,27,0,0,0,92,19,35,35.2
Yacine Adli,fr FRA,MF,Bordeaux,Ligue 1,21,2000,32,24,2092,23.2,1,7,1,0,0,4,0,0.04,0.3,0.34,0.04,0.34,1.9,1.9,5.3,7.2,0.08,0.23,0.31,0.08,0.31,Matches,30,14,46.7,1.29,0.6,0.03,0.07,20.5,4,0.06,-0.9,-0.9,831,1125,73.9,17565,5690,331,388,85.3,318,385,82.6,172,307,56,1.7,56,98,37,4,132,1004,121,2,177,87,39,67,38,17,1,741,128,256,114,962,19,10,4,5,31,51,35,100,4.3,65,20,3,6,3,13,0.56,10,2,0,0,1,0,39,30,21,13,5,12,20.3,47,169,30.1,138,287,136,0,32,87,10,1,1412,22,51,52.8,42,3,1000,14,45,61,1172,996,85,87,0,23,0,0,0,148,18,20,47.4
Michel Aebischer,ch SUI,MF,Bologna,Serie A,25,1997,7,2,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.05,0.12,0.17,0.05,0.17,Matches,2,2,100,0.82,0.82,0,0,20.8,0,0.07,-0.1,-0.1,122,133,91.7,1990,464,64,67,95.5,40,44,90.9,12,15,80,-0.3,3,5,1,0,8,125,8,0,27,4,1,4,0,1,0,109,18,6,21,106,4,0,0,0,0,2,1,4,1.64,3,0,0,0,1,0,0,0,0,0,0,0,0,8,2,4,2,2,3,42.9,4,14,21.2,28,27,11,0,3,10,2,0,155,9,4,50,1,0,107,0,2,2,118,103,87.3,3,0,10,0,0,0,22,3,6,33.3
Felix Afena-Gyan,gh GHA,FW,Roma,Serie A,19,2003,16,5,611,6.8,2,0,2,0,0,5,1,0.29,0,0.29,0.29,0.29,1.8,1.8,0.3,2.1,0.27,0.04,0.31,0.27,0.31,Matches,18,7,38.9,2.65,1.03,0.11,0.29,15,0,0.1,0.2,0.2,116,152,76.3,1658,259,68,84,81,39,48,81.3,4,8,50,-0.3,5,3,6,2,10,143,9,0,24,3,8,0,0,0,0,118,22,12,10,128,1,6,3,0,2,10,9,22,3.24,15,0,1,3,1,3,0.44,2,0,1,0,0,0,8,4,1,6,1,4,50,4,54,27,25,80,95,0,5,13,0,0,289,0,50,36.4,9,1,225,6,31,28,350,207,59.1,63,1,15,0,0,0,41,9,17,34.6
Martin Agirregabiria,es ESP,DF,Alavés,La Liga,25,1996,20,16,1474,16.4,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,0.1,0.1,0.9,1,0.01,0.06,0.06,0.01,0.06,Matches,4,0,0,0.24,0,0,,21.4,0,0.02,-0.1,-0.1,515,729,70.6,9673,5004,206,249,82.7,254,333,76.3,53,128,41.4,0.1,13,44,18,10,52,554,175,0,75,16,37,0,0,0,0,340,167,222,30,463,49,168,2,3,18,29,26,24,1.47,18,2,1,3,0,2,0.12,1,0,1,0,0,0,41,22,22,11,8,22,56.4,17,57,28.2,90,86,26,0,25,64,43,0,902,48,9,73.7,14,1,427,0,8,9,495,426,86.1,18,0,28,0,1,0,138,33,37,47.1
Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,21,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,61,82,74.4,1695,1037,14,14,100,30,30,100,16,37,43.2,0,0,1,0,0,0,48,34,0,3,1,0,0,0,0,0,48,1,33,30,36,0,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,1,0,95,75,0,,0,0,38,0,0,0,26,25,96.2,0,0,0,0,0,0,15,0,0,
Lucien Agoume,fr FRA,MF,Brest,Ligue 1,20,2002,24,19,1673,18.6,0,0,0,0,0,6,0,0,0,0,0,0,1.1,1,0.4,1.4,0.06,0.02,0.08,0.06,0.08,Matches,16,1,6.3,0.86,0.05,0,0,10.8,0,0.06,-1.1,-1,752,888,84.7,14205,3660,318,361,88.1,295,333,88.6,117,146,80.1,-0.4,10,61,10,0,72,863,25,1,143,27,3,1,0,0,1,658,100,130,108,719,34,0,4,3,10,27,22,29,1.56,22,1,0,2,0,1,0.05,1,0,0,0,0,0,51,37,24,22,5,15,53.6,13,103,31.1,105,179,47,0,22,105,30,0,1085,54,32,69.2,19,2,705,3,7,20,721,674,93.5,26,0,29,0,1,0,185,29,28,50.9
Kevin Agudelo,co COL,FW,Spezia,Serie A,23,1998,18,7,862,9.6,2,0,2,0,0,2,1,0.21,0,0.21,0.21,0.21,1.6,1.6,0.7,2.3,0.17,0.07,0.24,0.17,0.24,Matches,15,7,46.7,1.57,0.73,0.13,0.29,16,0,0.11,0.4,0.4,197,269,73.2,2905,847,105,126,83.3,80,100,80,4,17,23.5,-0.7,8,17,8,2,23,263,6,0,92,4,9,1,1,0,0,200,39,30,223,22,11,2,1,1,8,13,12,29,3.03,14,0,4,3,6,3,0.31,1,0,0,0,0,2,29,21,11,14,4,7,53.8,6,63,23.5,55,140,73,0,20,37,3,0,425,7,31,56.1,24,1,334,8,16,40,365,281,77,50,0,32,0,0,0,68,12,14,46.2
Nayef Aguerd,ma MAR,DF,Rennes,Ligue 1,26,1996,27,27,2408,26.8,2,2,2,0,0,2,0,0.07,0.07,0.15,0.07,0.15,1.9,1.9,0.4,2.3,0.07,0.02,0.09,0.07,0.09,Matches,24,7,29.2,0.9,0.26,0.08,0.29,8.5,0,0.08,0.1,0.1,1702,1890,90.1,39572,12864,404,432,93.5,899,943,95.3,391,496,78.8,1.6,3,98,2,0,73,1831,59,1,167,91,2,0,0,0,0,1568,83,239,1609,185,51,5,3,3,21,32,14,11,0.41,9,0,0,1,0,4,0.15,3,0,0,0,1,0,28,11,17,11,0,8,42.1,11,58,34.1,90,76,4,0,16,75,136,1,2155,259,33,83.3,5,0,1516,0,6,6,1650,1625,98.5,2,0,16,1,2,0,198,96,38,71.6
Sergio Agüero,ar ARG,FW,Barcelona,La Liga,33,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.6,0,0.6,0.6,0.6,1.1,1.1,0.3,1.3,0.64,0.16,0.8,0.64,0.8,Matches,6,1,16.7,3.58,0.6,0.17,1,12.1,0,0.18,-0.1,-0.1,31,43,72.1,469,43,18,25,72,10,15,66.7,2,2,100,-0.3,1,2,0,0,2,41,2,1,15,0,4,0,0,0,0,24,9,10,5,31,3,0,1,0,0,0,0,3,1.79,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,4,22.2,0,8,10,0,0,1,0,0,59,0,15,100,1,0,38,2,5,2,78,53,67.9,16,0,1,0,0,0,3,4,2,66.7
Ruben Aguilar,fr FRA,DF,Monaco,Ligue 1,28,1993,23,17,1722,19.1,0,2,0,0,0,4,0,0,0.1,0.1,0,0.1,0.2,0.2,0.6,0.8,0.01,0.03,0.04,0.01,0.04,Matches,8,1,12.5,0.42,0.05,0,0,22.5,0,0.02,-0.2,-0.2,1218,1441,84.5,21431,8287,564,612,92.2,543,621,87.4,100,170,58.8,1.4,10,108,29,6,120,1202,239,3,129,23,42,1,0,1,0,935,281,225,23,1148,32,208,10,5,16,43,33,20,1.05,16,1,0,2,1,3,0.16,3,0,0,0,0,0,74,42,39,27,8,38,63.3,22,116,34.7,149,134,51,0,22,126,58,1,1680,68,25,53.3,10,0,982,3,14,8,1107,1025,92.6,47,0,27,0,0,1,184,32,31,50.8
Álvaro Aguirre,es ESP,FW,Rayo Vallecano,La Liga,22,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,2,2,100,24,0,2,2,100,0,0,,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,0,1,33.3,0,0,3,0,0,1,0,0,3,0,0,,0,0,1,0,0,0,1,1,100,0,0,0,0,0,0,1,0,0,
Naouirou Ahamada,fr FRA,MF,Stuttgart,Bundesliga,20,2002,3,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,30,34,88.2,567,86,13,15,86.7,9,10,90,6,7,85.7,0,0,0,0,0,1,33,1,0,7,2,0,0,0,0,0,29,2,3,5,28,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,35.3,4,10,3,0,2,0,2,0,39,0,0,,0,0,34,0,0,1,35,32,91.4,1,0,2,0,0,0,3,1,3,25
Anel Ahmedhodzic,ba BIH,DF,Bordeaux,Ligue 1,23,1999,9,9,810,9,0,1,0,0,0,3,0,0,0.11,0.11,0,0.11,0.2,0.2,0.6,0.8,0.02,0.06,0.09,0.02,0.09,Matches,5,3,60,0.56,0.33,0,0,17.9,0,0.04,-0.2,-0.2,501,555,90.3,10353,3286,171,183,93.4,242,259,93.4,84,103,81.6,0.4,7,27,2,1,37,541,14,0,55,18,3,0,0,0,0,448,41,66,65,447,28,4,2,0,6,9,5,15,1.67,14,0,0,0,0,1,0.11,1,0,0,0,0,0,18,12,13,5,0,9,47.4,10,31,36.5,44,30,11,0,3,42,26,0,639,96,11,0,0,0,422,4,2,2,439,432,98.4,1,0,10,0,0,0,101,11,3,78.6
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,Ligue 1,28,1994,20,10,859,9.5,1,1,1,0,0,2,0,0.1,0.1,0.21,0.1,0.21,1,1,1.1,2.1,0.11,0.11,0.22,0.11,0.22,Matches,13,2,15.4,1.36,0.21,0.08,0.5,21.2,0,0.08,0,0,304,361,84.2,4980,925,141,155,91,125,143,87.4,26,43,60.5,-0.1,6,17,8,1,27,351,10,0,51,4,3,0,0,0,0,286,40,35,258,79,13,0,3,0,5,11,8,18,1.89,16,0,1,0,0,2,0.21,2,0,0,0,0,0,17,9,4,10,3,7,53.8,6,39,22.5,42,99,32,0,7,36,11,0,470,11,16,52.9,11,1,308,2,17,11,342,299,87.4,41,0,19,0,0,0,100,12,6,66.7
Joseph Aidoo,gh GHA,DF,Celta Vigo,La Liga,26,1995,26,24,2097,23.3,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.02,0,0.02,0.02,0.02,Matches,6,1,16.7,0.26,0.04,0,0,12.8,0,0.07,-0.4,-0.4,973,1169,83.2,22265,6378,224,255,87.8,508,563,90.2,227,324,70.1,-0.1,2,82,5,0,76,1145,24,1,120,28,1,0,0,0,0,849,94,226,185,863,74,12,8,1,27,29,14,9,0.39,8,0,0,0,0,1,0.04,1,0,0,0,0,0,45,32,35,6,4,16,64,9,103,40.9,161,82,9,0,27,90,97,2,1401,187,11,85.7,6,0,910,1,8,6,907,897,98.9,3,0,7,0,0,1,217,59,40,59.6
Ola Aina,ng NGA,DF,Torino,Serie A,25,1996,18,14,1166,13,0,0,0,0,0,4,0,0,0,0,0,0,0.3,0.3,1.3,1.5,0.02,0.1,0.12,0.02,0.12,Matches,9,3,33.3,0.69,0.23,0,0,22.8,0,0.03,-0.3,-0.3,430,607,70.8,7651,3279,205,240,85.4,165,221,74.7,53,110,48.2,-1.3,14,38,19,5,53,498,109,2,72,7,29,0,0,0,0,327,112,168,132,335,25,102,3,3,9,20,34,28,2.16,25,1,2,0,0,0,0,0,0,0,0,0,0,23,12,9,11,3,11,61.1,7,46,35.7,45,52,32,0,17,52,30,0,792,44,28,50,15,2,439,10,21,15,534,455,85.2,37,0,18,0,0,0,107,16,19,45.7
Rayan Aït Nouri,fr FRA,DF,Wolves,Premier League,20,2001,18,15,1378,15.3,0,2,0,0,0,4,0,0,0.13,0.13,0,0.13,0.4,0.4,1.2,1.6,0.03,0.08,0.11,0.03,0.11,Matches,8,2,25,0.52,0.13,0,0,15.5,0,0.05,-0.4,-0.4,567,763,74.3,9784,3341,292,320,91.3,215,274,78.5,57,134,42.5,0.8,15,19,12,7,30,595,168,1,108,28,40,27,8,16,1,426,159,178,511,85,29,128,0,2,22,25,25,36,2.35,21,9,4,1,1,6,0.39,4,1,0,0,1,0,58,31,44,10,4,21,56.8,16,101,31.9,183,88,46,0,27,85,25,0,978,48,37,54.4,35,2,587,11,23,23,627,553,88.2,43,0,16,1,0,0,102,18,19,48.6
Kristoffer Ajer,no NOR,DF,Brentford,Premier League,24,1998,20,19,1667,18.5,0,3,0,0,0,4,0,0,0.16,0.16,0,0.16,0.4,0.4,1.2,1.6,0.02,0.06,0.09,0.02,0.09,Matches,6,0,0,0.32,0,0,,9.3,0,0.07,-0.4,-0.4,501,713,70.3,8930,4297,201,244,82.4,238,307,77.5,48,114,42.1,1.8,5,37,8,1,61,581,132,0,118,6,10,0,0,0,0,348,194,171,38,450,55,126,2,4,20,28,33,22,1.19,16,4,0,1,0,5,0.27,3,1,0,0,1,0,34,19,23,8,3,17,53.1,15,61,34.3,95,58,25,1,20,76,72,1,924,102,29,66.7,10,0,456,2,12,11,475,425,89.5,16,0,16,0,0,0,156,58,36,61.7
Ludovic Ajorque,re REU,FW,Strasbourg,Ligue 1,28,1994,30,27,2349,26.1,11,8,8,3,3,5,1,0.42,0.31,0.73,0.31,0.61,10.1,7.8,4.4,12.2,0.39,0.17,0.55,0.3,0.47,Matches,53,21,39.6,2.03,0.8,0.15,0.38,13.3,0,0.15,0.9,0.2,589,811,72.6,8817,1278,339,429,79,165,232,71.1,47,72,65.3,3.6,32,29,25,4,45,798,13,1,268,14,15,0,0,0,0,441,225,145,459,153,54,2,28,1,12,43,28,66,2.53,49,0,2,7,2,9,0.34,6,0,0,2,1,0,43,24,4,20,19,8,22.9,27,123,27.9,56,198,187,0,17,55,26,1,1116,29,135,51.7,17,1,571,7,65,40,1419,871,61.4,233,0,30,2,0,1,100,139,102,57.7
